epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,Accuracy,F1_score,Precision,Recall
1,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
2,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
3,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
4,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
5,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
6,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
7,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
8,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
9,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
10,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
11,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
12,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
13,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
14,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
15,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
16,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
17,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
18,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
19,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
20,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
21,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
22,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
23,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
24,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
25,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
26,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
27,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
28,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
29,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
30,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
31,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
32,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
33,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
34,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
35,0.0,0.0,0.0,1.0,0.08790125368482526,0.689471582590177,0.816197904356732,0.689471582590177,1.0
36,0.0006281407035175768,0.0,0.000822368421052655,1.0006285355122564,0.0876045643041341,0.6897377878344203,0.8163265306122449,0.6896551724137931,1.0
37,0.001282472073929397,0.0,0.0016605657776939675,1.0012909867478315,0.08738064570451565,0.6953280979635299,0.8190370780298838,0.6935332708528584,1.0
38,0.017617612780929326,0.0,0.007093203717664809,1.018409740431401,0.07964114653751042,0.7223479302542261,0.8323959505061868,0.7129094412331407,1.0
39,0.027389198243469526,0.0,0.0037812750318051425,1.0301129859140907,0.07466399212119457,0.7641421536004259,0.8539399934058688,0.7451093210586881,1.0
40,0.03651668193125479,0.0,0.009981432290439629,1.0418987802771587,0.0694874907055939,0.7968853986423533,0.8716136631330977,0.7724425887265136,1.0
41,0.04969290898939138,0.0,0.004782547236488743,1.0592149035262808,0.061639152095340544,0.8216424863569812,0.8854700854700854,0.7944785276073619,1.0
42,0.05460427570980331,0.0,0.0047413183810017245,1.066257627233237,0.058478579573220335,0.8338879275921736,0.892487939352171,0.805849408836341,1.0
43,0.057402469148700286,0.0,0.002675090114498402,1.070107196689475,0.05673137454511412,0.8376148010115799,0.8946459412780656,0.809375,1.0
44,0.05842775032473524,0.0,0.0014779808462516697,1.0714690576388617,0.0561094507235983,0.8382803141221882,0.8950323974082074,0.8100078186082877,1.0
45,0.060016312214804746,0.0,2.0982542524639047e-05,1.073638511788801,0.0551238846623463,0.839877545587648,0.8959612557294819,0.8115306282312392,1.0
46,0.06207485510249333,0.0,0.0003331438769259565,1.0768155222100033,0.05370627880747969,0.8456009583388793,0.8993055555555556,0.8170347003154574,1.0
47,0.06941571451621698,0.0,0.003034002026103766,1.087775867759982,0.04878589341902351,0.8586450153068016,0.9070215373839959,0.8298622236462673,1.0
48,0.07669969447607639,0.0,0.003132288672666461,1.099800501516889,0.0434377386336422,0.8767469719153468,0.9179514442672337,0.8483458892892237,1.0
49,0.08504537587452154,-0.0003113325031133263,0.003917063085180583,1.1144482150399309,0.036660626695495746,0.8971116730999601,0.9305543077890577,0.8702739035456226,0.9998069498069498
50,0.09185937483676176,-0.0003113325031133263,0.005868439539970183,1.1266696619663272,0.03127715939385434,0.9110874484227339,0.9394159259931072,0.8859048922340061,0.9998069498069498
51,0.10162972694379724,-0.0003113325031133263,0.012561502490542678,1.1440093683084336,0.02369925297147968,0.9249301211233861,0.9483611060245376,0.9019505398815744,0.9998069498069498
52,0.10559090207331412,-0.0003113325031133263,0.014117523670394719,1.1517154477443285,0.020362916725565672,0.9323838679621989,0.9532486655623045,0.9108336264509321,0.9998069498069498
53,0.10970000731307261,-0.0003113325031133263,0.01615761578743756,1.1597826273032128,0.01688860822589211,0.9394383069346466,0.9579210209932488,0.9194035150008876,0.9998069498069498
54,0.11040098854169211,-0.0003113325031133263,0.014752153553069178,1.1618401231660902,0.016007260557588165,0.9434313855982963,0.9605861077622183,0.9243262537926111,0.9998069498069498
55,0.11035433868348443,-0.0003113325031133263,0.01367468158869091,1.1621449997084514,0.015877413368727056,0.9450286170637562,0.9616562993222542,0.9263101412985155,0.9998069498069498
56,0.11083454927676029,-0.0003113325031133263,0.01401297907255275,1.1630763423739394,0.015478069063094568,0.9456941301743644,0.9621029165892625,0.927139276763337,0.9998069498069498
57,0.11146268998027786,-0.0003113325031133263,0.014835347493605378,1.1641522686851085,0.015016778339772885,0.9459603354186078,0.9622816796729841,0.9274713467048711,0.9998069498069498
58,0.11217390080455414,-0.0003113325031133263,0.015621272551325782,1.165429226568643,0.014469947477553036,0.9464927459070944,0.962639405204461,0.9281362007168459,0.9998069498069498
