epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,-0.6396400081816322,-0.3510004257130694,0.590067141990393,0.2004499897729597,0.10990530907543353,-0.0005404223014269793,0.009578024758290421,0.007228000933530251,0.9966493817311527,0.05246735791090629,0.5020433183489987,0.22363810130614842,0.44543147208121825,0.14929817099106762
2,-0.6384127633462876,-0.3416347381864623,0.588533904526302,0.2019840458171405,0.09631517468408193,-0.015321323169027012,-0.01899340381313816,0.014847850809091026,0.9099211861958929,0.02030451591505064,0.5098079280751941,0.23720190779014308,0.46977329974811083,0.1586558911101659
3,-0.63902638576396,-0.3416347381864623,0.5891244557074045,0.2012170177950501,0.09608843537414963,-0.016517972550758153,-0.020924616180783173,0.016584156004896086,0.9028857131067495,0.017960083321222647,0.5104209235798938,0.23742838956078932,0.4715549936788875,0.1586558911101659
4,-0.6416854162405401,-0.34333759046402723,0.5917475353894939,0.197893229699325,0.09766250400256163,-0.021703453204926476,-0.029248297559493014,0.02305809373019871,0.8723986630537943,0.007314753858532641,0.5114425827543931,0.23585810162991372,0.47429305912596403,0.15695448745214802
5,-0.6427081202699939,-0.3416347381864623,0.5926677627940186,0.19661484966250767,0.0947188368612358,-0.022062230781043912,-0.0325118903866532,0.02530364438295729,0.8696471661525945,0.0032027257240204166,0.5140988966080915,0.2387964148527529,0.48253557567917205,0.1586558911101659
6,-0.6439353651053386,-0.34333759046402723,0.5939128897202026,0.19508079361832686,0.09682947729220223,-0.023637710514455623,-0.03311072229478301,0.02668297394393364,0.8599920223374552,0.002238016029033729,0.5136902329382917,0.23669018601667732,0.4810951760104302,0.15695448745214802
7,-0.6447535283289016,-0.342911877394636,0.594684285154011,0.194058089588873,0.0958815958815959,-0.025233243023430496,-0.032478211225839326,0.029066502426740415,0.850541560553527,0.003757917386429055,0.5149162239476911,0.23763648041104693,0.4849279161205767,0.15737983836665248
8,-0.6449580691347925,-0.34206045125585355,0.594849123265722,0.19380241358150951,0.0945177556056217,-0.025632126150674228,-0.03314440145559691,0.030170296553601775,0.848178945107545,0.0032070380819293476,0.5159378831221905,0.23899775136524257,0.4881889763779528,0.15823054019566143
9,-0.648026181223154,-0.3441890166028097,0.597881909876208,0.18996727347105746,0.09659335920655451,-0.025072820818925284,-0.036306956800315426,0.03035777107344144,0.8484839916587984,0.0027238675900166376,0.5169595422966898,0.23692704970949,0.49129852744310576,0.1561037856231391
10,-0.648026181223154,-0.34376330353341844,0.5978659037352132,0.18996727347105746,0.0959465286761535,-0.025890639848975855,-0.037605658099016726,0.031547078526247815,0.8439369764658955,0.00411237654879984,0.5173682059664896,0.23757262750161395,0.4926372155287818,0.15652913653764355
11,-0.6478216404172633,-0.34333759046402723,0.5976530472005175,0.19022294947842094,0.09537665696734562,-0.02549175672173215,-0.03697314703007304,0.031230822991775972,0.8463413553162257,0.003199818268779464,0.5175725378013895,0.2381413359148112,0.49331550802139035,0.15695448745214802
12,-0.6482307220290449,-0.34376330353341844,0.598062754128914,0.189711597463694,0.09586972932168661,-0.024653884916118418,-0.03567444573137174,0.030272257747496437,0.8506375043279831,0.0018942121197576267,0.5175725378013895,0.23764933806909913,0.4932975871313673,0.15652913653764355
13,-0.648026181223154,-0.342911877394636,0.5978338914532235,0.18996727347105746,0.09465286761535144,-0.024255001788874686,-0.03440942359348431,0.03017970348200845,0.8530540881470968,5.152862326179841e-05,0.5181855333060891,0.23886378308586187,0.49531459170013387,0.15737983836665248
14,-0.6484352628349356,-0.342911877394636,0.598227592240625,0.18945592145633053,0.09449838187702261,-0.023417129983260926,-0.03440942359348431,0.02956127429215069,0.8574064049233576,0.00035954128228080084,0.5185941969758888,0.23901808785529716,0.4966442953020134,0.15737983836665248
15,-0.6494579668643895,-0.342911877394636,0.599211844209129,0.18817754141951318,0.09411129119394923,-0.021322450469226567,-0.03440942359348431,0.02801520131750629,0.8684840070541503,0.0013934336116923074,0.5196158561503882,0.23940472339048852,0.5,0.15737983836665248
16,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
17,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
18,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
19,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
20,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
21,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
22,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
23,-0.6488443444467171,-0.3416347381864623,0.5985732746050422,0.1889445694416036,0.09240069084628666,-0.019307982057444856,-0.0325118903866532,0.02621726331570612,0.8806006394530548,0.001001639045711128,0.5202288516550878,0.2411118293471235,0.5020188425302826,0.1586558911101659
24,-0.6506852116997341,-0.3424861643252448,0.600376940430339,0.18664348537533237,0.09299556132943593,-0.016355377962233603,-0.03184570015689561,0.023719666036325165,0.8967188169421915,0.0001600952656772292,0.5212505108295873,0.2405186385737439,0.5054495912806539,0.15780518928115694
25,-0.6443444467171201,-0.32886334610472545,0.59376238171378,0.19456944160359993,0.07481243301178986,-0.003990001017678352,-0.01160534595069701,0.014139445736681591,0.9748038824624385,0.028890824622531952,0.5279934613812832,0.2586649550706034,0.526797385620915,0.17141641854529988
26,-0.6445489875230108,-0.3271604938271605,0.5938952075435016,0.19431376559623645,0.07215610592902327,-0.0002997889946691201,-0.009075301674922182,0.011328350624149774,0.9980815111788869,0.03134965634366693,0.5298324478953821,0.26131621187800963,0.5327225130890052,0.17311782220331773
