EC_ID,dataset,model,system,ratio,Selection frequency,#Runs
260,fairface,ResNet18,Craig,0.3,20,5
261,fairface,ResNet18,Glister,0.05,20,5
262,fairface,ResNet18,Glister,0.1,20,5
263,fairface,ResNet18,Glister,0.2,20,5
264,fairface,ResNet18,Glister,0.3,20,5
265,fairface,ResNet18,GradMatch,0.05,20,5
266,fairface,ResNet18,GradMatch,0.1,20,5
267,fairface,ResNet18,GradMatch,0.2,20,5
268,fairface,ResNet18,GradMatch,0.3,20,5
269,fairface,ResNet18,Random,0.05,20,5
270,fairface,ResNet18,Random,0.1,20,5
271,fairface,ResNet18,Random,0.2,20,5
272,fairface,ResNet18,Random,0.3,20,5
273,fairface,VGG,Full,1.0,20,5
274,fairface,VGG,Craig,0.05,20,5
275,fairface,VGG,Craig,0.1,20,5
276,fairface,VGG,Craig,0.2,20,5
277,fairface,VGG,Craig,0.3,20,5
278,fairface,VGG,Glister,0.05,20,5
279,fairface,VGG,Glister,0.1,20,5
280,fairface,VGG,Glister,0.2,20,5
281,fairface,VGG,Glister,0.3,20,5
282,fairface,VGG,GradMatch,0.05,20,5
283,fairface,VGG,GradMatch,0.1,20,5
284,fairface,VGG,GradMatch,0.2,20,5
285,fairface,VGG,GradMatch,0.3,20,5
286,fairface,VGG,Random,0.05,20,5
287,fairface,VGG,Random,0.1,20,5
288,fairface,VGG,Random,0.2,20,5
289,fairface,VGG,Random,0.3,20,5
290,audioMnist,LSTM,Full,1.0,20,5
291,audioMnist,LSTM,Craig,0.05,20,5
292,audioMnist,LSTM,Craig,0.1,20,5
293,audioMnist,LSTM,Craig,0.2,20,5
294,audioMnist,LSTM,Craig,0.3,20,5
295,audioMnist,LSTM,Glister,0.05,20,5
296,audioMnist,LSTM,Glister,0.1,20,5
297,audioMnist,LSTM,Glister,0.2,20,5
298,audioMnist,LSTM,Glister,0.3,20,5
299,audioMnist,LSTM,GradMatch,0.05,20,5
300,audioMnist,LSTM,GradMatch,0.1,20,5
301,audioMnist,LSTM,GradMatch,0.2,20,5
302,audioMnist,LSTM,GradMatch,0.3,20,5
303,audioMnist,LSTM,Random,0.05,20,5
304,audioMnist,LSTM,Random,0.1,20,5
305,audioMnist,LSTM,Random,0.2,20,5
306,audioMnist,LSTM,Random,0.3,20,5
307,audioMnist,CNN,Full,1.0,20,5
308,audioMnist,CNN,Craig,0.05,20,5
309,audioMnist,CNN,Craig,0.1,20,5
310,audioMnist,CNN,Craig,0.2,20,5
311,audioMnist,CNN,Craig,0.3,20,5
312,audioMnist,CNN,Glister,0.05,20,5
313,audioMnist,CNN,Glister,0.1,20,5
314,audioMnist,CNN,Glister,0.2,20,5
315,audioMnist,CNN,Glister,0.3,20,5
316,audioMnist,CNN,GradMatch,0.05,20,5
317,audioMnist,CNN,GradMatch,0.1,20,5
318,audioMnist,CNN,GradMatch,0.2,20,5
319,audioMnist,CNN,GradMatch,0.3,20,5
