epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
10,-0.00010249051962693452,-0.00031104199066874026,0.00015552099533437013,0.0,0.0006218905472636816,-9.855129594954174e-05,-0.0003181673560292714,0.0001590836780146357,0.0,0.0006361323155216284,-7.710100231303006e-05,-0.0002969121140142518,0.0001484560570071259,0.0,0.0005936479667557139,0.7543824701195219,0.0005403944879762226,1.0,0.0002702702702702703
11,-0.0011766213152720672,0.0008978531689406936,0.0004489265844703468,0.32468857805237883,0.001775279987015094,-0.0016689329987791316,-0.004249847628110914,0.002124923814055457,0.10870194007306072,0.00843348091924942,-0.0009864501444260402,-0.002629281973499699,0.0013146409867498495,0.32661798035759254,0.005213362166417967,0.7556440903054449,0.010752688172043012,1.0,0.005405405405405406
12,-0.0024885502164215946,0.004675249715412612,0.0024140540842425336,0.3774157830352437,0.009098491355934529,-0.0037256321489933515,-0.008295199899922943,0.004218987728373807,0.14081842236737413,0.01627033932493612,-0.0019570374032087294,-0.003731076324299573,0.0019176106470487658,0.42311874728142673,0.007294710503753212,0.7573041168658698,0.024552975713904458,0.9787234042553191,0.012432432432432432
13,-0.003103493334183201,0.00280899777140017,0.0014809281122363125,0.32709367863054456,0.005460496024091887,-0.004014847004478898,-0.008090704543624058,0.004116740050224364,0.16859892746025745,0.01581493841555761,-0.0018640735152523488,-0.002203588701599748,0.0011538668356988534,0.5065911532076945,0.004285296208035451,0.7577025232403718,0.027711164401811886,0.9811320754716981,0.014054054054054054
14,-0.003103493334183201,0.00280899777140017,0.0014809281122363125,0.32709367863054456,0.005460496024091887,-0.004014847004478898,-0.008090704543624058,0.004116740050224364,0.16859892746025745,0.01581493841555761,-0.0018640735152523488,-0.002203588701599748,0.0011538668356988534,0.5065911532076945,0.004285296208035451,0.7577025232403718,0.027711164401811886,0.9811320754716981,0.014054054054054054
