epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.06450347430821897,0.20547834518422756,0.13661586338239445,1.8392575537753109,0.07932033967348731,-0.013508236534606477,-0.011969920357616515,0.00634900329837744,0.8539592674876589,0.14821101641517664,-0.06978271237021094,-0.12075704100243978,0.08518211209076484,0.45242119984400186,0.2036155233950963,0.8834909285308563,0.21446271682811444,0.18601016021883549,0.2531914893617021
2,0.02875499660446466,0.21561893988364575,0.12229679668112058,2.1572546614821664,0.030200678564364702,-0.011475563425338758,-0.021028147489884824,0.010725822816513813,0.6687463861641714,0.0956992090392478,-0.0313799891938243,-0.034271344087295014,0.02482145445114424,0.3401915300319654,0.1052537513156146,0.9289986300912159,0.22416940489229645,0.3573923166472643,0.16329787234042553
3,0.018764413758452548,0.24196024563671625,0.12991095235101421,2.034757608067177,0.10646181343232278,-0.010969750350908464,0.009916587562862289,0.005127126410732652,0.5833515610140477,0.039175188374596326,-0.025412449935592822,0.0037820467268319946,0.007012104910705485,0.29253871892590894,0.042132886819519266,0.9361822981055163,0.23538831064851884,0.47572815533980584,0.15638297872340426
4,0.01093763698559573,0.21404330963154494,0.11241716685713574,1.7176751275763802,0.13472924403084127,-0.010689330304508887,0.007429025373807574,0.003901499912256072,0.5193797374299789,0.029722000843842244,-0.02319532736575683,0.011847517982487288,0.009770987422482495,0.2431098504665742,0.014175724637681214,0.9400581375923018,0.246218487394958,0.586,0.15585106382978722
5,0.00982758291309748,0.20115546218487393,0.10568401995877579,1.6615877764718454,0.1281447908022092,-0.011721854826966296,0.00020533327947541702,0.00014239963523531756,0.472954732966964,0.03470758090778067,-0.022273620036922667,0.015408484733638123,0.010874860584297322,0.2464197050964096,0.009773964169780991,0.9409936850546293,0.25296108291032143,0.6177685950413223,0.15904255319148936
6,0.007966632542974602,0.1759453781512605,0.09264482723071274,1.5321628408474632,0.10949834479246245,-0.0127828966422779,-0.007237156571674785,0.003796593049564019,0.4357934335229452,0.04194554665468797,-0.022914004797930092,0.012040962961208351,0.009080705471764788,0.23128663117505877,0.011588132635253046,0.9418624076982192,0.2627118644067796,0.6458333333333334,0.16489361702127658
7,0.007646154185643003,0.17174369747899157,0.09087863234435917,1.4423505004095878,0.08633608064845721,-0.016423774268806417,-0.022320737314779265,0.012093568591092115,0.3874823410292429,0.06192219962952203,-0.026796428481746654,0.007923348414145964,0.0077862667529609315,0.22133881908150785,0.02099154205068171,0.9423301814293829,0.28912685337726524,0.6405109489051095,0.18670212765957447
8,0.00840600610070897,0.16766321913380738,0.08954972383626299,1.4538893044128647,0.06559365901002912,-0.017857016386149147,-0.025902288287924402,0.01407154097581643,0.3819416846491831,0.0684800176822446,-0.029588351296033003,-0.0038096817237921465,0.006270157453068002,0.20945485564088998,0.03675464195097311,0.9425974807043336,0.3038897893030794,0.6377551020408163,0.19946808510638298
9,0.007385027234984954,0.17590497737556562,0.0932237771266616,1.38281027175268,0.0731560000966393,-0.019039625569822728,-0.03242919367977434,0.017406714554083404,0.368278354369537,0.07671333676969067,-0.030900581647327566,-0.004903238032072377,0.00689337600549941,0.20464300298699756,0.03836896502902448,0.9432323164823415,0.3168476075593084,0.6490939044481054,0.20957446808510638
10,0.006577732671991285,0.18257110536522303,0.0960893113572624,1.3355938491981696,0.08348383857199548,-0.01958915800604799,-0.029483839261069483,0.016187795128769732,0.3603386481871252,0.0711878272251309,-0.03098497841767559,-0.0006987706374209368,0.004762829737392263,0.20759401018779536,0.03419812309730874,0.9433659661198169,0.3200962695547533,0.6508972267536705,0.21223404255319148
