epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,Accuracy,F1_score,Precision,Recall
1,0.19622098422349676,0.10811147728538306,0.12673926594797352,1.3797979415000692,0.05763018182550095,0.8193797417809131,0.8630814246796489,0.9040372014373282,0.8256756756756757
2,0.1869934536391823,0.09670038169871109,0.11420997445676262,1.354186291723472,0.05170841378532409,0.8309596699054972,0.8724387304138208,0.9093383584589615,0.8384169884169884
3,0.1841588399377344,0.08915752918425823,0.11011055792954608,1.344109006080837,0.045713750424468125,0.8413416744309863,0.8807761552310462,0.9138646741386467,0.85
4,0.18171113711314713,0.08473116564914096,0.1073404184981322,1.337554411066663,0.04275251424922155,0.844935445228271,0.8836280091898912,0.9155454357275926,0.8538610038610038
5,0.17934650440931843,0.0803870647672853,0.10509548133053989,1.3314215148225594,0.0398602841928829,0.8474643950485825,0.8856515665535822,0.9165634035522512,0.8567567567567568
6,0.17802536301280014,0.0788626745233828,0.10340158769753931,1.3285986990334815,0.03912842248104598,0.848396113403434,0.8863386887536173,0.9173724437099773,0.8573359073359074
7,0.17794229289204155,0.07815774686389454,0.10346030807832149,1.3282550756478912,0.03845251997427113,0.8489285238919206,0.8867604509627857,0.9176130497625439,0.857915057915058
8,0.1781550829917664,0.07881268414178533,0.10289252156954978,1.3280773766603726,0.039028564024850776,0.8505257553573805,0.8880470541321903,0.9181612038754896,0.8598455598455599
9,0.1749495194846954,0.07548484342253137,0.09850639240343927,1.320690426044485,0.037725810340097476,0.8533209104219354,0.8901952969310483,0.9198929159802306,0.8623552123552124
10,0.17600324038766257,0.07295874717775819,0.09859653421650007,1.3218807107376898,0.03428402226324001,0.8605084520165047,0.8957213930348259,0.9242299794661191,0.8689189189189189
11,0.17330632720079953,0.0680887981046685,0.09411594584119538,1.3145993989779623,0.031088235993818603,0.8678290962331958,0.9013804747244015,0.9282061771323379,0.876061776061776
12,0.16775434112117527,0.055990492968441496,0.0869267417959109,1.302109627901483,0.022176685527366846,0.8794090243577799,0.9101012105576505,0.9363005308289097,0.8853281853281854
13,0.16163907432751656,0.04510524557300366,0.07925628744277097,1.2881628290362892,0.015196744923186012,0.8889924131505391,0.9173766594016247,0.9422059422059422,0.8938223938223938
14,0.161898514285449,0.04074342658121477,0.07936026639337325,1.2873382773048325,0.01063515306853513,0.8959137495008652,0.9226814316788611,0.9456830158086745,0.9007722007722008
15,0.15710438888830847,0.03279242474865596,0.07333915163833402,1.2763648476355658,0.005970593502092392,0.902968188473313,0.9280426413976902,0.9495051504746516,0.9075289575289576
16,0.1517834030396844,0.025596340957182884,0.06743008514664026,1.2649552386394491,0.002475388994446104,0.9066950618927193,0.9308746671925845,0.9514210844587785,0.9111969111969112
17,0.15153419267740875,0.025743148153772988,0.06612416266002742,1.2640858617870112,0.0028659445180089227,0.9088247038466658,0.932492362274564,0.952486410308033,0.9133204633204633
18,0.14979770067709763,0.022808902590893965,0.06465703987858791,1.2600631837273057,0.0012328882120090645,0.9100226274457607,0.9334383615596691,0.952572347266881,0.915057915057915
19,0.14979770067709763,0.022808902590893965,0.06465703987858791,1.2600631837273057,0.0012328882120090645,0.9100226274457607,0.9334383615596691,0.952572347266881,0.915057915057915
20,0.14979770067709763,0.022808902590893965,0.06465703987858791,1.2600631837273057,0.0012328882120090645,0.9100226274457607,0.9334383615596691,0.952572347266881,0.915057915057915
21,0.1479963486873035,0.02026825218438988,0.06293908710147732,1.2562372888637163,2.1913620559810276e-05,0.9108212431784907,0.9340551181102362,0.9528112449799196,0.916023166023166
