epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,Accuracy,F1_score,Precision,Recall
1,0.36288511162883025,0.3206838684202533,0.3470784641540554,1.8495780848722025,0.20033549457177313,0.6589910821243179,0.7427710843373495,0.7738493723849372,0.7140926640926641
2,0.13423326205989528,0.013719512195121908,0.1624950044130677,1.1576535250456312,0.02927390252584694,0.7534939438306935,0.8476723145254155,0.738463743192892,0.9947876447876448
3,0.11545615000388865,0.0015243902439023849,0.1470550584070664,1.1313839819915588,0.03011910023478792,0.7433781445494476,0.843022309070184,0.7289495916643199,0.9994208494208494
4,0.11156781539947369,0.0,0.1437425640814211,1.1261029195001506,0.031117174725835528,0.7404498868627712,0.8415922014622258,0.726507713884993,1.0
5,0.07537688442211055,0.0,0.09868421052631576,1.0815217391304348,0.05057347736823714,0.7214162118993744,0.8319280494659922,0.7122232916265641,1.0
6,0.037060301507537696,0.0,0.048519736842105254,1.0384866275277234,0.06999321468542496,0.7051776920005324,0.8238568588469185,0.7004732927653821,1.0
7,0.049493395598923184,0.0,0.06392607666211186,1.0521465822590905,0.06377718941532706,0.7118328231066152,0.8271457085828343,0.7052416609938734,1.0
8,0.08111097181448934,0.0,0.10110935070442445,1.089054253192184,0.04730305046568062,0.7319313190469853,0.8372393728786165,0.7200444815123714,1.0
9,0.09342232646252746,0.0,0.11272631696744095,1.1048120815562676,0.04042171366059988,0.7443098629042992,0.8435795130689684,0.7294747218701592,1.0
10,0.09367153682480323,0.0,0.11261698687744431,1.1052028829806608,0.04025522057279496,0.7451084786370291,0.8439918533604888,0.7300916138125441,1.0
11,0.12430025212688534,0.0,0.14748923632379962,1.1459874595248996,0.022699939677597647,0.766404898176494,0.8551382583574082,0.7469358327325162,1.0
12,0.15323810958233064,0.0,0.15894864946049098,1.1963421090181654,0.0016818740549752187,0.8207107680021296,0.8849406338088324,0.7936264746437873,1.0
13,0.15020913356340482,0.0,0.1163599779720115,1.2080321362618012,0.003137723525910574,0.880873153201118,0.9204797867614394,0.8526748971193415,1.0
14,0.1621166005588116,0.0,0.11278300664373557,1.2385301553508576,0.015575845409536715,0.9164115533076002,0.9428467419002547,0.8918732782369146,1.0
15,0.15985897958259765,0.0,0.10169612566555153,1.2389629065685404,0.01576263887692697,0.9283907892985492,0.950633143696091,0.9059111577474641,1.0
