epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,F1_score,Precision,Recall
1,0.06448492470309364,0.013669339019107607,0.04336233224404609,1.093717740100146,0.04202657610290972,0.7949077621264807,0.7729763187455583,0.8181200562915514
2,0.10591788513831402,-0.0014409221902017544,0.0551043977421084,1.1453110475638766,0.010859520771206,0.9279846751929687,0.8663188235046602,0.9991022468093367
3,0.10774761284822376,-0.007958065021217764,0.02315273860048229,1.1684518241960642,0.0056007079663323855,0.9828627582570347,0.9710395453469097,0.9949774348522347
4,0.10445423795700881,-0.009905257170139015,0.016306382423618385,1.1654168065311565,0.006301844385090294,0.9888576360804954,0.9839992311942917,0.9937642548648518
5,0.10465859447878811,-0.009321099525462673,0.014599740232837331,1.1662361866608282,0.006081769691413497,0.9904872417836119,0.9868728472673844,0.9941282088610667
6,0.10497913298347594,-0.008074896550153032,0.012710917182309243,1.1668302579434315,0.005093223656617907,0.9913566964447614,0.9878339637187116,0.9949046440529917
7,0.10601218651933475,-0.006595030516972966,0.011604446503506309,1.1686115314268135,0.00437733127228368,0.9922154530509623,0.9886303415715181,0.9958266608434028
8,0.10636002333225525,-0.005621434442512285,0.010378899774345968,1.169197110225408,0.003656049014096774,0.9927598419010553,0.9891134179532263,0.9964332508370942
9,0.10694187952126522,-0.004764669896986984,0.009740715025815437,1.1701878103100005,0.0032241598572616548,0.9932196424902404,0.9895003010234799,0.9969670500315427
10,0.10739714926859056,-0.0038300176655047258,0.008850823940710267,1.1709123287282717,0.002600751942201107,0.9936076370007855,0.9896969259286007,0.9975493764254865
11,0.10801907277068645,-0.003206916177849961,0.008699461737460897,1.1719788222895378,0.0024342498748052277,0.993934267762204,0.989962932652963,0.997937594021449
12,0.10828154650598343,-0.002661702376151931,0.00811067111404592,1.1724297095448437,0.0020831185188798784,0.9942485681834659,0.9902522383748917,0.9982772844179162
13,0.10863053936987921,-0.002428039318281394,0.008154274793841019,1.1730737951863035,0.0021248832775837556,0.9944776750649508,0.9905635396355408,0.9984228660164022
14,0.10860846951309788,-0.002272263946367703,0.007760203385318212,1.1730717776853465,0.0019690656579246513,0.9946705016496067,0.9908506488816122,0.9985199204153928
15,0.10876351031399045,-0.002116488574454012,0.007630975087105,1.1733852638232354,0.001947585229962856,0.9948753897846214,0.9911617377901937,0.9986169748143835
16,0.10893539252021245,-0.0019607132025403207,0.007554320741909937,1.1737147483559813,0.0019327903262308377,0.9950442392302857,0.9914013199094369,0.998714029213374
17,0.10898707278717656,-0.001882825516583475,0.00746304961406572,1.1738193726514379,0.0018997889037726257,0.9951286731375938,0.991521136938456,0.9987625564128694
18,0.1091357290856424,-0.0018049378306266295,0.007530487017885378,1.174089832961745,0.001937333495869109,0.9952010830804937,0.9916170838050731,0.9988110836123647
19,0.10934767860495043,-0.0016372607229725444,0.007553276379008771,1.1744948441574394,0.001942698711915547,0.9952611218568665,0.9917602274369971,0.9987868200126171
20,0.10957008502716159,-0.001325709979145162,0.007345173722229288,1.1748721180526858,0.0017927085062460213,0.9954184446889015,0.9918812787588234,0.9989809288105983
21,0.10967344556108993,-0.0012478222931883165,0.00730721655186029,1.1750818635226867,0.0018043977905569664,0.995539006492015,0.9920728622027324,0.9990294560100936
22,0.10965660415576017,-0.0012088784502098937,0.007182350056182426,1.175066175815228,0.0017589712818872894,0.9955992939526562,0.9921686746987952,0.9990537196098414
23,0.1098168734081042,-0.001169934607231471,0.007322326670814154,1.1753669157668094,0.0018480952058064215,0.9956716237456172,0.9922884133410449,0.999077983209589
24,0.10984009931586047,-0.0010531030782962025,0.007105942379139718,1.1754264541322867,0.0017570547664035319,0.9957923246197374,0.9924563771329413,0.9991507740088319
25,0.11008050319437634,-0.0009362715493609342,0.007207468487097738,1.1758779334693839,0.0018326207886497636,0.9959371221281741,0.9926722267752977,0.999223564808075
26,0.11017747922587795,-0.0008583838634040886,0.007221591933442176,1.176044143823269,0.0018256381097920826,0.995973446512134,0.9926965073396485,0.9992720920075703
27,0.11020070513363434,-0.0008973277063825114,0.007294377812406605,1.1761038032222593,0.0018898328057715963,0.9959974364245378,0.9927681218812525,0.9992478284078226
28,0.11029768116513594,-0.0008194400204256658,0.007308501258751043,1.1762700599679492,0.0018828577963618809,0.99603376139689,0.9927924018898853,0.9992963556073179
29,0.11061183516739714,-0.0006636646485118636,0.007495950019408449,1.1768287331608953,0.0019649745802482466,0.9961425444695697,0.9929127594436276,0.9993934100063085
30,0.11055492644898157,-0.0006636646485118636,0.007390308777067439,1.176737756489475,0.0019263534215915312,0.9961666364350927,0.992960632578771,0.9993934100063085
31,0.11058338080818941,-0.000585776962555018,0.007298544312918512,1.1767832448251851,0.0018680667965780273,0.9962029602399151,0.9929849091172075,0.9994419372058039
32,0.11064667402903172,-0.0005214103302172424,0.007266854333054336,1.1769184246535058,0.0018612954301605589,0.9962390102913256,0.9930805024471394,0.9994176736060562
33,0.11062983262370196,-0.0004824664872388196,0.007141987837376472,1.1769028294863118,0.0018158903708503926,0.9962993421052632,0.9931764478950668,0.9994419372058039
34,0.11044226506312538,-0.0004824664872388196,0.006772490157335293,1.176614214868039,0.00169336716710633,0.996407793998476,0.9933920173640419,0.9994419372058039
35,0.1104823323762113,-0.0004824664872388196,0.006825557446658154,1.1766896098580983,0.0017253966871880744,0.9964198456663199,0.993415975303878,0.9994419372058039
36,0.11046549097088165,-0.00041809985490104395,0.006687732888148258,1.1766739970298792,0.0016545590867259596,0.9964318113093438,0.9934637370058609,0.9994176736060562
37,0.1104939453300895,-0.00037915601192262116,0.006668260966659047,1.1767195057704822,0.0016350734670964595,0.9964439498766268,0.9934638946505233,0.9994419372058039
38,0.11052239968929733,-0.00034021216894419837,0.006648789045169835,1.176765014511085,0.0016155886036611777,0.9964560881502715,0.9934640522875817,0.9994662008055515
39,0.1104939453300895,-0.00037915601192262116,0.006668260966659047,1.1767195057704822,0.0016350734670964595,0.9964439498766268,0.9934638946505233,0.9994419372058039
40,0.11057407995626145,-0.00037915601192262116,0.006774395545304769,1.1768703382393368,0.001699138668385669,0.9964680552531631,0.993511818620357,0.9994419372058039
41,0.11063098867467713,-0.0003012683259657756,0.006735451702326346,1.176961367387207,0.0016601696976656921,0.9964923315109583,0.9935121315903719,0.9994904644052992
42,0.11063098867467713,-0.0003012683259657756,0.006735451702326346,1.176961367387207,0.0016601696976656921,0.9964923315109583,0.9935121315903719,0.9994904644052992
43,0.11051717123784577,-0.0003012683259657756,0.006524169217644326,1.1767793090914667,0.0015828703324453075,0.9965405457712405,0.9936079888079502,0.9994904644052992
44,0.11046026251943009,-0.0003012683259657756,0.006418527975303316,1.1766882799435965,0.001544216149668265,0.9965646546510221,0.9936559243535315,0.9994904644052992
45,0.11047941602670996,-0.0003012683259657756,0.006262286125163009,1.176820909657216,0.0016006233049215002,0.9968178683347652,0.9941595269699529,0.9994904644052992
46,0.11045734616992886,-0.00023690169362799995,0.006072134281787319,1.1768196039836498,0.0015358456085621253,0.9968901634781768,0.9943273710382118,0.9994662008055515
47,0.11052063939077106,-0.00023690169362799995,0.006125694907414894,1.1769549729224316,0.0015933440713247204,0.9969504816302821,0.994447395104051,0.9994662008055515
48,0.11043527631314753,-0.00023690169362799995,0.00596723304390338,1.1768182978075146,0.0015353143853497064,0.9969866760253168,0.9945194234530047,0.9994662008055515
49,0.11036152618940231,-0.00039267706554169113,0.006098188019183087,1.17671155261661,0.0016453201896382552,0.9969501863774991,0.9945429081952962,0.9993691464065608
50,0.11030461747098663,-0.00039267706554169113,0.005992546776842076,1.176620430027644,0.0016066299986452481,0.9969743180112797,0.9945909398242055,0.9993691464065608
51,0.11030461747098663,-0.00039267706554169113,0.005992546776842076,1.176620430027644,0.0016066299986452481,0.9969743180112797,0.9945909398242055,0.9993691464065608
52,0.11021925439336311,-0.00039267706554169113,0.00583408491333056,1.1764837461441944,0.001548589077662088,0.9970105176524696,0.9946629959670603,0.9993691464065608
53,0.11021925439336311,-0.00039267706554169113,0.00583408491333056,1.1764837461441944,0.001548589077662088,0.9970105176524696,0.9946629959670603,0.9993691464065608
54,0.11019080003415527,-0.00039267706554169113,0.005781264292160056,1.1764381848497112,0.001529240601294335,0.9970225847837138,0.9946870170015456,0.9993691464065608
55,0.11027093466032722,-0.00039267706554169113,0.0058873988708057785,1.1765891554220371,0.001593375800905128,0.9970467199225369,0.994735062551321,0.9993691464065608
