epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,0.04323442615319428,0.05561484554860063,0.048254675688775284,1.0476807874110208,0.04161409019039386,-0.049774520383859655,-0.0506530582805329,0.050096486328800094,0.945916636531213,0.0046011840270562265,0.544288239016124,0.38323433019254405,0.9388313219760644
2,0.0014470597101851057,0.11300461753716728,0.07946455895914695,1.001752955575968,0.0112026770938497,-0.0344358942904468,-0.02984961585132606,0.033746636310754585,0.9587183202113572,0.0007833805855309572,0.5441684027237959,0.39422437969522567,0.8781895275610306
3,-0.0015076351451888126,0.19961975067319482,0.14440629323406673,0.9978879082704565,0.07634087058284478,-0.03354109872590949,-0.026227394094123446,0.032401297275394925,0.9535559959183566,0.002187472379437172,0.5392715050075455,0.40962913752002816,0.7889705697869884
4,-0.03064239207300179,0.16697016022114397,0.14061452546303246,0.9480611553471204,0.0939635271185908,-0.07299041147571028,-0.14101176353410183,0.08726331926918651,0.8798497878059427,0.06852998773104857,0.5290966335674497,0.430943062744603,0.6851494091376672
5,-0.19526486248428782,-0.2996995077111628,0.21851055506103773,0.5633432735928489,0.22513525733964165,-0.041023163239628624,-0.07236817370238485,0.04771543900022743,0.9093401930676095,0.04124472361247827,0.4663166203370053,0.4285534062237174,0.5113781769827132
6,-0.1876030034937849,-0.3036281470185938,0.21588754703077495,0.38004710400761166,0.32175183473850216,0.007116627292868438,0.03479284902409824,0.022206669148382208,1.0240389026037025,0.03617370637345241,0.3680952579671438,0.41305569430569433,0.3319617633038111
7,-0.13456686585430236,-0.19342373354426948,0.1492761163511433,0.29334023027600886,0.25237105400592125,0.027654947856774387,0.06627271990459505,0.035455089895108705,1.1535831156577943,0.07429168495061547,0.263436108656139,0.3927505966587112,0.1981835060340718
8,-0.08486253737406806,-0.1197172064707055,0.09354752232487887,0.2654544332933503,0.18165647455185488,0.03417429856734007,0.06820822409095206,0.041061442880555805,1.3260903880584247,0.08900364224701215,0.18447646493756006,0.3937505125891905,0.12045562887322177
9,-0.049827687793358055,-0.06086264850024376,0.05298492422889883,0.23958363235331326,0.1034881438014005,0.01217581248775277,0.012335961712328376,0.012230365836622275,1.198935791137083,0.01811196710046832,0.10143687991789258,0.3432209521053393,0.059512758110244125
10,-0.030921422242382913,-0.030841864880814925,0.03130542548353246,0.18323182760366982,0.055983791714212534,-0.0034524746481730054,-0.011778248238941528,0.006664895062452927,0.9089933555449535,0.021000624326784713,0.05483076361645835,0.3014798093804866,0.03015781418571393
11,-0.01586270001858854,-0.008082518666769302,0.014464910198770602,0.17159874721061172,0.015373352855051245,-0.004281965152033914,-0.010441479059585725,0.005484300416207576,0.7839390633179731,0.019818208864566558,0.015045494710195114,0.15625,0.00790325413352736
12,-0.009647754437622606,-0.0003592230518564134,0.00781582891139956,0.10195342973703307,0.0006982717773510561,-0.000697943522095193,-0.0004699721373661419,0.0006047962825139717,0.9346026919796804,0.0009135697738914811,0.0006831601034499584,0.012400354295837024,0.00035125573926788267
13,-0.005905812311567378,-0.00015395273650989146,0.0047322718618073994,0.0,0.0003030915336431602,0.0014739096628702377,-0.0002014166302997751,0.0013605782658100462,1.273664950353478,0.0003970486053667737,0.0002964719833975689,0.009693053311793215,0.00015053817397194972
14,-0.0029481357096515664,-0.00010263515767326097,0.0023675739010772475,0.0,0.0002036556183493712,-0.0020529874095467134,-0.0001342777535331834,0.001650115816178893,0.39401526946485976,0.00026611669216951636,0.00019917343026440272,0.012944983818770227,0.00010035878264796649
15,-0.001087661718123879,0.0,0.0008657482647063291,0.0,0.0,-0.0010682826948024832,0.0,0.0008462064073707571,0.19547330735912435,0.0,0.0,0.0,0.0
16,-0.0004197992596267603,0.0,0.00033414845304454804,0.0,0.0,-0.0004965383196399297,0.0,0.00039370262507933563,0.06948718899477177,0.0,0.0,0.0,0.0
17,-0.00015265427622791284,0.0,0.00012150852837983566,0.0,0.0,-0.00019855550867439378,0.0,0.00015750201799460555,0.0,0.0,0.0,0.0,0.0
18,-6.678624584971187e-05,0.0,5.31599811661781e-05,0.0,0.0,-8.686803504504728e-05,0.0,6.890713287263993e-05,0.0,0.0,0.0,0.0,0.0
