epoch,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,-8.601366555837145e-05,0.0004667302691883195,0.0006225001019740804,0.9436180422264875,0.00093460201376076,-0.00032843363246167975,-0.003209406623228438,0.002003586438857937,0.8127928294968425,0.006375215747962682,0.5278335462675671,0.004617160446325509,0.75,0.0023157082207641835
2,0.13003125041176755,0.15418373646108088,0.1143503403233179,1.8481142750737674,0.15648804551606077,0.04263633212180995,-0.042295001079347416,0.03847850129660941,1.1992025353232105,0.016203610207203234,0.623106406278518,0.4802416310093129,0.6903039073806078,0.36819760710150523
3,0.1722326658672886,0.1680088669397834,0.14493408171109773,1.747672268053031,0.12574755022631107,0.06850682420044818,0.004795386560582204,0.016688911465173956,1.2283560806681606,0.05256339217393602,0.6603394780069356,0.5928680813826296,0.6843434343434344,0.5229641065225782
4,0.16447112210133952,0.10840675683259438,0.1268298953220497,1.4802263721043565,0.06422273708358883,0.06566278192935998,-0.03361836917207439,0.035176653311401435,1.1606342733894215,0.04692654379052763,0.6705603212265012,0.6497186105181447,0.6533957845433255,0.6460825935932073
5,0.1664697502748777,0.1094449744654582,0.12878904372455724,1.5005546848861575,0.06316232647059106,0.06412461179430545,-0.0317790729947266,0.03269340430267903,1.1596114791386642,0.047587706543156694,0.6705603212265012,0.6465635402388877,0.6562003179650239,0.6372057120802779
6,0.15740244586263286,0.09440765475054724,0.11866894454813602,1.4626784899684118,0.05429334403169406,0.06885562858051625,-0.007284493962262495,0.017422559743192734,1.172897393351957,0.0664966822315064,0.6712903814564701,0.6476227744081394,0.6567460317460317,0.6387495175607873
7,0.162902379247794,0.09371925098677436,0.1234735747809339,1.382733009307989,0.05775475721646384,0.09642654201198653,-0.019970130711179812,0.04860763083366862,1.2081936702531528,0.05489653362898217,0.6656324146742106,0.6729739378793288,0.6260378611756892,0.727518332690081
8,0.10659801678108313,0.10040125708513387,0.08204724210752365,1.743351063829787,0.09558321023160166,0.04300229081565188,-0.03337826943155836,0.02606655248670301,1.2312387336313355,0.013295903554226773,0.648658514327432,0.4962051818895577,0.7707317073170732,0.365881898880741
9,0.15815845108055127,0.11825018238958418,0.1232975308308308,1.4777551367894073,0.0786861401718505,0.10431752634795383,0.02546819449400639,0.04600000781552159,1.2914754412663416,0.06638982449775377,0.6685526555940865,0.6413902053712481,0.6566922765871411,0.6267850250868391
10,0.14905710721768117,0.0761359597433452,0.10668064165093218,1.3947754900250102,0.04439797761091946,0.10152780607048273,-0.00589896426699088,0.03868040667339265,1.2538195151762068,0.050018537801337914,0.6815112246760358,0.6695701571672033,0.6572490706319702,0.6823620223851795
11,0.14924743532870394,0.10151055988925684,0.109794500906032,1.5162622367174956,0.06236469279353174,0.09300568594025294,0.005658864526474905,0.02803811304890111,1.291281543878814,0.04557119593482761,0.689906917320679,0.6458203043568898,0.7021758839528558,0.5978386723272867
12,0.14766752899941582,0.08928858708868803,0.10678458390628758,1.4851933095695091,0.05128086112768826,0.09498450751037302,0.00310808012723085,0.029092156434888716,1.2864612131265218,0.04500414242407125,0.6886293119182333,0.6499794829708658,0.6938239159001314,0.6113469702817445
13,0.14704951166198899,0.07580391716706891,0.1031589317860672,1.4209212004123746,0.04168570709518893,0.11531773005542989,0.0071126794690491435,0.04416180453806154,1.3222113045666424,0.04324245728825871,0.6926446431830626,0.6709652207893709,0.6794618124258014,0.6626785025086839
14,0.14994670812891364,0.0768122042015077,0.10626451462225235,1.4349118016747915,0.04025194892046524,0.1087533459846397,0.001700522932829407,0.03843217122669747,1.30091945248177,0.04306484990190562,0.6902719474356634,0.6675808031341821,0.6778042959427207,0.6576611346970281
15,0.15341196080412162,0.07562433357651943,0.10876564354104852,1.4164038936111873,0.03925423182285537,0.1243805684510727,0.009262563384128786,0.051838209904617794,1.3328494085310396,0.043604958496151425,0.6906369775506479,0.6770813488283484,0.6685477802859293,0.6858355847163258
16,0.15119829846668742,0.0794479675253007,0.10827539281556312,1.3956506373050444,0.04654992096678756,0.11628623402057803,-0.0003656564855565314,0.044868731336164036,1.2959069347845067,0.04452400216149366,0.6851615258258806,0.6754468485418627,0.658957415565345,0.6927827093786183
17,0.14914092478965085,0.07925061264193656,0.10640519044522243,1.4306690581480888,0.043752362852384374,0.10977188336496158,0.005326249289613116,0.04072767251968078,1.3037377355244082,0.045719961877659476,0.6875342215732798,0.6649706457925636,0.6744739976181024,0.6557313778463914
18,0.15163294198945587,0.0845193332959201,0.10942268057034445,1.4293537515079409,0.0482646940832282,0.11563365533409808,0.014068963694275904,0.04746039689654816,1.3168806900982495,0.05122010965458745,0.6864391312283263,0.6669251647925553,0.6700428515777171,0.663836356619066
19,0.15770568978567595,0.0800044895897638,0.1134070316353942,1.4325358981360277,0.040314650235637295,0.11202088537701965,0.012471970007357114,0.04345879525570778,1.2915612085155306,0.057070657944864434,0.6889943420332177,0.6751810903545558,0.6670433145009416,0.6835198764955616
20,0.15365426313007757,0.09156237723777982,0.11197857132592412,1.4842325455854128,0.050455427998071456,0.10866614488962273,0.006802091731317406,0.04011347416353751,1.3226026176410675,0.0412878222429649,0.6893593721482022,0.6575452716297787,0.6868432114333753,0.6306445387881127
21,0.14836680179962553,0.0737723777989786,0.10396032631697828,1.4120950787273496,0.03989020556869827,0.12052263475964303,0.002896616135583674,0.04712356694922304,1.3302783741009447,0.03773547162759339,0.6922796130680782,0.6746429949826321,0.6746429949826321,0.6746429949826321
22,0.1476900389587003,0.06653197897375462,0.1027914369920898,1.411086286783134,0.03293567573142642,0.12301286930914573,0.021562718898272548,0.054031387978178844,1.3403754150787042,0.052947407446639394,0.689906917320679,0.6716908212560387,0.6726006191950464,0.6707834812813586
23,0.15104219281408904,0.0743288998634416,0.10672352638473155,1.4304702495201538,0.037543186180422294,0.12236851039801583,0.021441567653058158,0.0534044192536324,1.3435963099845765,0.051935360547081255,0.6906369775506479,0.6704258215049581,0.6755485893416928,0.6653801620995754
24,0.1491046892454369,0.07333557812821523,0.10490933138373634,1.4194769261819051,0.03846815261687797,0.12191535060915681,0.01906480049694037,0.05249923222654314,1.3389841455961922,0.05083384634392085,0.6904544624931557,0.6713178294573643,0.6741922927209031,0.6684677730605944
25,0.1483419127389533,0.07139383055539972,0.10393845759732859,1.4164373610294814,0.03708338998844485,0.12211905808522117,0.008066470181374408,0.05002362211201436,1.3395505517491515,0.04012037069574137,0.6906369775506479,0.6715752761092812,0.67431906614786,0.6688537244307218
26,0.15460260954480837,0.09094599397646708,0.1121423859982934,1.468092427513265,0.05016740663385477,0.11415373838956727,0.019412834983193017,0.04655442417524451,1.3302925425484942,0.05266201579871588,0.6917320678956014,0.665213082259663,0.6837815810920945,0.6476263990737167
27,0.14729163098014586,0.0809229848289279,0.10453304520710786,1.3885298354425981,0.05028741750053212,0.12718672827924365,0.019549405477798487,0.05683401278625222,1.3371927214845065,0.052303938880972844,0.6886293119182333,0.677016281711473,0.6644370122630993,0.6900810497877268
28,0.15199511442379626,0.08262248162074193,0.1086027653546987,1.4437986525826212,0.04452231005088181,0.12164517016721882,0.01965513747362202,0.05225993920187104,1.348430889423692,0.04889634067647952,0.6917320678956014,0.6688884532444619,0.6796812749003984,0.6584330374372829
29,0.15473840133171113,0.08798099407000015,0.11164353276815918,1.4600046352514133,0.047469700029531214,0.11128932537087272,0.010200934847063081,0.04191654251825319,1.3140342349574132,0.04788740692893867,0.6924621281255704,0.6682417798779288,0.6820739549839229,0.6549594751061366
