epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,-0.18070811437645606,-0.11011558021266754,0.1451740691761012,0.8064129108795649,0.2421486551698473,0.15873015873015872,0.07564766839378234,0.15776310545195188,1.1886792452830188,0.17309377738825582,0.6845124282982792,0.5434122647237402,0.9245867768595041
2,-0.18160971176046548,-0.10887656033287108,0.14261657474007894,0.8047949243423823,0.2412154025839981,0.16231438812083976,0.07357512953367873,0.16128149189234542,1.1937652811735942,0.16971494480145,0.6878834355828221,0.5469512195121952,0.9266528925619835
3,-0.18351633427010317,-0.10601941747572818,0.14147870098592608,0.8020821596773102,0.2384348988395406,0.16641065028161806,0.07253886010362698,0.1653180130477649,1.1996314496314497,0.16682276458597323,0.6907692307692308,0.5502450980392157,0.9276859504132231
4,-0.18850698398437093,-0.10316227461858529,0.1440229977744089,0.7964716963041921,0.23405691313374366,0.16999487967229898,0.07150259067357512,0.1688484613286904,1.204811844540407,0.16418075350789962,0.6934053220208254,0.5532307692307692,0.9287190082644629
5,-0.19342868187089302,-0.10601941747572818,0.1465174606758486,0.7904522613065326,0.2333491313556184,0.17562724014336917,0.07253886010362698,0.17442732478865558,1.2130434782608694,0.16199722607489586,0.6955848179705655,0.5563816604708798,0.9276859504132231
6,-0.2074990336296869,-0.11049468331021739,0.15737912460084513,0.7752093802345058,0.2291849550948747,0.18279569892473113,0.07253886010362698,0.1815123450315706,1.2236842105263157,0.15819713281642211,0.6993769470404985,0.56125,0.9276859504132231
7,-0.2245844607653653,-0.12192325473878873,0.17317092969497577,0.7567001675041876,0.22764952947381134,0.1915002560163851,0.0766839378238342,0.19016383126009523,1.2368587713742876,0.15667115902964956,0.7009016072128578,0.5647504737839545,0.9235537190082644
8,-0.23058013560526125,-0.12192325473878873,0.17714379791203005,0.7499232351158271,0.22435683239554727,0.1955965181771634,0.0766839378238342,0.19421241425604668,1.243157224697645,0.15446146913023884,0.7031065670467951,0.5676190476190476,0.9235537190082644
9,-0.22552053406324768,-0.09906611188164594,0.16736251330516405,0.7551345894256837,0.21171948380773464,0.1940604198668715,0.06839378238341964,0.19259770090830902,1.2407878017789074,0.14899004107353842,0.7085624509033778,0.5716096324461344,0.9318181818181818
10,-0.22947168273801444,-0.09620896902450304,0.16845332172155386,0.7502808158439255,0.20746854901315626,0.1981566820276498,0.06735751295336789,0.1966342220637285,1.2471264367816093,0.1459615058982897,0.7115839243498817,0.5751592356687898,0.9328512396694215
11,-0.2344623324522822,-0.09620896902450304,0.1716509961401585,0.7445608563770153,0.2045691222033208,0.20174091141833073,0.06735751295336789,0.20017673218518595,1.2527261064785118,0.14398913289563042,0.713551955748716,0.5777351247600768,0.9328512396694215
12,-0.23137830524765202,-0.09459084604715673,0.16861325248094272,0.747348547504834,0.2048724367813266,0.2022529441884281,0.06839378238341964,0.20069486690021182,1.2535301668806162,0.14449917898193765,0.7130434782608696,0.5774647887323944,0.9318181818181818
13,-0.22330362832875406,-0.07173370319001393,0.1565063864787279,0.7558885335769757,0.1939798986960134,0.19918074756784432,0.060103626943005195,0.1975619349289925,1.2487212276214834,0.13986330000564873,0.7176656151419559,0.5803571428571429,0.9400826446280992
14,-0.21595816922450084,-0.0668793342579751,0.14690865937704956,0.7614790369759245,0.1936038024016533,0.2048131080389145,0.06321243523316067,0.20316492207002163,1.25756600128783,0.13911267445818676,0.7184158415841586,0.5825305073859988,0.9369834710743802
15,-0.22597394456690933,-0.07259361997226077,0.15528905804814586,0.7501299601455554,0.1915578284815106,0.21095750128008195,0.06528497409326428,0.20926192024501272,1.2673588578844905,0.1372705506783718,0.7202546756864306,0.5857605177993528,0.9349173553719008
16,-0.23200409532067823,-0.07545076282940366,0.16059359846896537,0.7434621382775949,0.18994745006173042,0.21402969790066562,0.06632124352331603,0.21231041933250822,1.272312703583062,0.1363428571428572,0.7211806940566413,0.5873944119558154,0.9338842975206612
17,-0.2257326131697991,-0.07345353675450761,0.15378103194314524,0.748372220313619,0.19103669399824097,0.2181259600614439,0.07046632124352337,0.2164072496905876,1.2789783889980353,0.1372391653290529,0.7202881152460984,0.5878510777269759,0.9297520661157025
