epoch,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,Accuracy,F1_score,Precision,Recall
1,0.03804766263097914,-0.015630748926101834,0.04216983629978638,1.0422876582864244,0.02227590817434766,-0.10637619982843016,0.022449797407649075,0.09672719552666326,0.8833570571593871,0.039477603698517494,0.43837399583457304,0.5594935970362591,0.3922290388548057,0.975485708473197
2,0.14598871092471932,0.031662522602124876,0.12136944308228803,1.2187176719192976,0.05345708502610724,-0.6400496104234003,-0.8308186674300712,0.6807252896151956,0.11135367015874768,0.4985336339149665,0.5707304373698304,0.598780581066331,0.45481813189134385,0.8760858508798698
3,0.27081631257127614,0.2817612290701782,0.27239611275562803,1.6826627015708222,0.05162325033370574,-0.46924090245925126,-0.6701484932946825,0.511435977202487,0.01563639515149461,0.5643791667351994,0.6599077655459684,0.5905541426371028,0.5274582886759555,0.6707964601769911
4,0.24408725217754523,0.37740981370896565,0.27151951874179603,2.3185012945622376,0.22063649882758674,-0.24930959988931875,-0.4109792387993118,0.28327461843682133,0.014147866935407712,0.47791691367456973,0.688745908955668,0.4916602888832197,0.6102165128761836,0.4116773471671244
5,0.12279384129532275,0.2307739839990239,0.14535060436990682,4.812866332722555,0.30684167672022405,-0.06478189890606167,-0.10235843160131672,0.07271662192428632,0.0,0.17394229067091518,0.644294852722404,0.1704511943379534,0.5785445124823363,0.09994914047401078
6,0.009071369363491857,0.0023794834858946014,0.007679054310896639,5.126980497346433,0.004616166665243554,-0.004600033565750728,-0.0006458602441768407,0.003765063763528821,0.0,0.0012756939157630499,0.6303481106813449,0.0012460307890188513,0.05140961857379768,0.0006306581222663005
7,0.000509107393917142,8.022462896109105e-05,0.0004200834152826182,3.55935923533056,0.00016014092401313155,-0.00033565750728529363,-2.083420142505938e-05,0.0002691788954361962,0.0,4.1630240206485995e-05,0.634059803629872,4.0651232748633105e-05,0.022727272727272728,2.0343810395687112e-05
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343722106515918,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343722106515918,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343722106515918,0.0,0.0,0.0
