epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,0.0027867240533941077,0.008576074512216586,0.005795480405664349,1.5424590596936079,0.015604653934886553,-0.0039962415183012485,-0.0010092914180544425,0.0012365971684365088,0.42339475863396,0.002273266624811126,-0.002108841915026396,0.004869549847986227,0.002824495412491768,0.660309964161143,0.00900833476859685,0.026898047722342736,0.62,0.013747228381374724
2,-0.005104052736918075,0.0031754566989783337,0.002180533526275604,0.6376122556788167,0.005761388731215081,-0.014318760070157721,-0.013474040431026804,0.00780114795274108,0.22205822989201734,0.024961619867666582,-0.01084670139310687,-0.0013311345678317654,0.001762592299163508,0.35749039457541454,0.0024319009390124935,0.08894500561167228,0.8732782369146006,0.046858832224685884
3,-0.03165332940195488,0.011912201407761558,0.009846904196317877,0.6715281557084567,0.004701842835324488,-0.10688661291597594,-0.12443672633360048,0.07941668005894278,0.17476971615792783,0.15213675213675215,-0.07280302333816058,-0.02613611610420824,0.02365772976126171,0.3696926367003099,0.03946581047354042,0.42025699168556313,0.7796474358974359,0.2876570583887657
4,-0.059743824469108434,-0.017636581777900506,0.01727427336446806,0.6405059258696796,0.03431105917264243,-0.17813465062053016,-0.18340012467717515,0.12593067443595507,0.1920370381671754,0.17531475348687486,-0.13757182901717116,-0.09607298041927287,0.07407497348557078,0.32017451661939883,0.09306026720274746,0.5699547511312216,0.7348891481913652,0.4654841093865484
5,-0.06466610975153955,-0.011468945438338984,0.015473392725656388,0.6536263110098114,0.0329055201684304,-0.19269839808488085,-0.16809748567696736,0.12284346969278984,0.21479863391477833,0.15623228340222023,-0.15660195074326197,-0.10393706522801033,0.0845359870311149,0.31417085106164566,0.08953047979936946,0.5988954090438384,0.7194692100352478,0.5129342202512934
6,-0.06093593628398847,0.012139077413968802,0.014940662013877445,0.685991057653279,0.020217131577580427,-0.2017848584883155,-0.17755217146080093,0.13004604098044795,0.21328485847844567,0.16050448530064831,-0.1675825134937544,-0.11570186452046533,0.09417613456063244,0.3010861468803516,0.09057248189092793,0.6109134045077106,0.7157037919396466,0.5328898743532889
7,-0.06645197640530665,-0.005818844757065067,0.012618061803783536,0.6648128445580743,0.03223319947744585,-0.20965378214754057,-0.19995250393326802,0.14283323829241884,0.2018738046835734,0.17470903844895663,-0.1761819042587011,-0.1395813347040521,0.10799823308006587,0.28376614835011554,0.10459892513267555,0.6190836485918453,0.7177387914230019,0.5442719881744272
8,-0.06652386924982473,-0.0068280796601219995,0.013041510855655247,0.6627753772120972,0.032491590179155816,-0.21199855262757283,-0.20981684329266487,0.14842976052775403,0.19242360486839105,0.17909229345820693,-0.17740478204832322,-0.14571919067294448,0.11123412582715192,0.27703417382304507,0.1076810741185168,0.619649477586788,0.7205565353713502,0.5435328898743533
9,-0.06819910369365714,-0.008562348917535045,0.014140842279238511,0.6621287670879878,0.0346384894193148,-0.22047964709622428,-0.22435360821681954,0.15841174698544097,0.18292563624529776,0.18385755803259396,-0.18315744086155045,-0.14641876126467446,0.1138985014679724,0.2720086392769153,0.10124639570364091,0.6265643250458868,0.7192108791419268,0.5550628233555063
10,-0.06791478886469166,-0.00118847502183983,0.011123430448388587,0.6594931201780785,0.025319623992806406,-0.22023767813724043,-0.22983346691602102,0.16080294120538535,0.1763662952517861,0.18674019870539432,-0.18085045784528075,-0.14592804347728527,0.11244255621656002,0.27219878207037257,0.10229848866498725,0.6260694514343231,0.7236765561372891,0.5516629711751663
11,-0.06879925855613611,-0.0020911347191339136,0.01177828416747815,0.6574846801763036,0.025666970877455064,-0.22287240891002544,-0.23323240419152785,0.16330332370274123,0.17336219678820533,0.1864907278531414,-0.1819148314353322,-0.14845464459293894,0.11367163532401445,0.27269713702438375,0.10464978549451809,0.6289202977335452,0.724191063174114,0.5558019216555802
12,-0.07085414104254392,-0.001822274540959623,0.01266752954685078,0.6508266074656575,0.022767911865589574,-0.2270536918183367,-0.23998575117998044,0.16816671037720615,0.1678479831192628,0.18752194535790118,-0.1831821705179758,-0.1411667173551847,0.11097430191463384,0.2739533353719858,0.09524721434342898,0.6317367763431905,0.7236641221374046,0.5605321507760532
13,-0.07047693541179867,-0.0021823695543703447,0.012510791222434748,0.6488330344956901,0.022253018937737568,-0.22693415702123812,-0.24515688544542408,0.17011901464163026,0.1614773371022556,0.18971420591739419,-0.18081082094360804,-0.1419393001256224,0.10968900707012352,0.27490082878631267,0.09803925814918446,0.6333500753390257,0.7301679212507238,0.5592017738359202
14,-0.07129032639600175,-0.004003029319485041,0.013787383688948548,0.6462139931412354,0.023151123566454546,-0.22979121013330253,-0.24783447620743904,0.17317312297642176,0.15623390238286924,0.1873821284505025,-0.18083555060003337,-0.13960394604072046,0.10885917757231513,0.2768547004206418,0.09640155929597294,0.6323443376514836,0.7275,0.5592017738359202
15,-0.07621511062757386,-0.018821827248050593,0.02245911294701544,0.625040276084773,0.03056913153916152,-0.23289313156913752,-0.2559117760560454,0.17802748340379498,0.1515691649396672,0.1915540980642106,-0.1820781600262516,-0.1379329510003704,0.10853394085509899,0.2761417509066771,0.09287544672755976,0.6348174087043521,0.7280550774526678,0.5627494456762749
16,-0.07466749220186525,-0.013268613117470185,0.01937479488923849,0.6273962934536701,0.025415576280106156,-0.23171186962912765,-0.2640692255172618,0.1809137985191288,0.14633234803651438,0.20007199943710624,-0.18017715140228624,-0.13860991025543223,0.10776035598680717,0.27427220197407715,0.09379632910358349,0.6347928199966449,0.7337599379484196,0.5593495934959349
17,-0.07723690944715171,-0.020678012081752906,0.023783346614858522,0.6164589779387719,0.02899937199904845,-0.23316243909711615,-0.2647608869890462,0.18187470396709365,0.1445689004946779,0.19816762037357072,-0.18110292605784362,-0.1383582512564826,0.10804081693271973,0.2732532711538063,0.09217280938920236,0.6358991540330011,0.7336683417085427,0.5611234294161124
18,-0.0778936016205131,-0.021687246984809838,0.02464857244829668,0.6134445208724101,0.028816310773090215,-0.23354246425741082,-0.2679312494434054,0.18361613105486793,0.1437100607533425,0.20174677272606067,-0.1782958310077969,-0.12814862863106136,0.10223829207815878,0.2820073805271548,0.08662004092879472,0.6350083752093802,0.7325603864734299,0.5603843311160385
19,-0.07807938322407272,-0.018045927454580446,0.023281801697242786,0.6118628830110417,0.024036879320961102,-0.23297437927189696,-0.26525365868139045,0.1820503652047022,0.1440100191352113,0.1987311133176986,-0.179266197177736,-0.13281933680086527,0.10469679849042954,0.277941395311523,0.08929347013121691,0.6355406538139144,0.7339787028073572,0.5603843311160385
20,-0.079743332820653,-0.025850946500861505,0.02737087248468555,0.6011296549555388,0.02826184685577704,-0.2311868643224566,-0.26256122539852167,0.17973708011276454,0.14396668643916624,0.196569023985197,-0.1777612103135367,-0.13376556082846558,0.10410841294580876,0.27830442074121725,0.09149254699078024,0.6363330529857022,0.7381463414634146,0.5592017738359202
