,SPD_age,EOD_age,AOD_age,DI_age,DiscIndex_age,SPD_gender,EOD_gender,AOD_gender,DI_gender,DiscIndex_gender,Accuracy,F1_score,Precision,Recall
44,0.0916380140656462,0.0018057580731403178,0.03333462725564921,1.2067176761605927,0.013848292340857271,0.1463317765088819,0.07606603820243274,0.04707144857823922,1.382819939334938,0.057405034963789014,0.8933807196801422,0.8876053699656572,0.9026351994920098,0.8730678677449074
45,0.0938250689425959,0.003675131254687658,0.035526365432124354,1.2103669963712191,0.013362443813344949,0.14633985318634496,0.07510657353526107,0.046982286550054875,1.3796103424879056,0.0570724795312173,0.8933807196801422,0.8879900435594275,0.8998423541776143,0.8764459002968574
46,0.09555007761492534,0.0045466427113597385,0.03721917274616187,1.2127235379671004,0.013442942844440364,0.14371657825995338,0.07081585191563666,0.04408268651637625,1.3679264096024446,0.055989631971067544,0.8937262451256232,0.8887740868936302,0.8971631205673759,0.880540485208312
47,0.095308919030482,0.005531046398654982,0.036873340199341846,1.2130004607334124,0.012518560275851076,0.1440610934241846,0.07080496753859788,0.04432566835948605,1.370682759671736,0.05527450672154699,0.89412113134903,0.8889809016096476,0.8990787269681743,0.8791073804893029
48,0.09727279950543505,0.006494020749188145,0.03895821083080214,1.2149479160599972,0.012408887194612639,0.14285063878142917,0.06855581804564137,0.04313148468278046,1.361728581345031,0.055317306137956934,0.8934794412359939,0.8889574971699084,0.8937403000517331,0.8842256116286211
49,0.09321759891784831,0.002946171472997694,0.03494409055565332,1.2108460172596898,0.014171604746322286,0.14536263504055147,0.07567848151372814,0.04613541749682995,1.3805158758497647,0.057800697205616314,0.8933807196801422,0.887511717529424,0.9033181384501219,0.8722489507626164
50,0.09657645506183027,0.006453646636448207,0.03825084079402067,1.2142843137356076,0.012147655854944817,0.14418008980547414,0.0696517245270738,0.04449502831581275,1.3676912690239158,0.05472389871513195,0.893430080458068,0.8886711700097973,0.8953657522859518,0.8820759545501075
51,0.09402080196275642,0.002222698429705794,0.035861720144898815,1.210805853150179,0.014972900375048837,0.1456176486530435,0.07491279519090888,0.046395297397482785,1.3772820896919764,0.057601053305856076,0.8929364726788094,0.8875291677469536,0.8993274485077764,0.8760364418057119
52,0.09361332844969761,0.003936061898691001,0.035137202454088315,1.2092419483642547,0.01274269977467013,0.14502093175662228,0.07255042996021788,0.04531213477821648,1.3741592205123645,0.05600728743266925,0.8943185744607335,0.889130547356429,0.8997065604695033,0.8788002866209438
53,0.09155371321042854,0.00047170421717968036,0.03323746893295887,1.205761571745734,0.014885561724277574,0.1459318014927375,0.07614514348660206,0.04659994762413956,1.379925896989713,0.058196883941019184,0.8937262451256232,0.8881616539400551,0.9016030373338958,0.8751151602006346
54,0.0969381929384952,0.006286922255504979,0.038636736104035146,1.2138653885274795,0.012234864179964666,0.14396632707528428,0.06890926428078092,0.044241262125618526,1.3645537443768672,0.05472372567492556,0.8933313589022163,0.8888774618193038,0.8930564166150031,0.884737434742553
55,0.09381820859713685,0.003390027904723314,0.035590516727322934,1.2100718090816764,0.013548131459063306,0.14514764585193207,0.07453612287924283,0.045907662849465077,1.375273592023905,0.0577841255353132,0.8929858334567353,0.8876451077943615,0.8989188621811693,0.8766506295424301
56,0.09102566040514803,-0.00017650733903018523,0.03293340782895564,1.2043323092514435,0.015021449580726376,0.14702239225921654,0.07719459781498184,0.0477741459332543,1.3829968916994784,0.05828644304887287,0.893430080458068,0.8878965678384131,0.9009483667017913,0.8752175248234211
