epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196158561503882,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196158561503882,0.0,0.0,0.0
3,0.00020454080589077522,0.0004257130693912303,0.00021285653469561516,0.0,0.000851063829787234,-0.00041893590280687055,-0.0012987012987012987,0.0006493506493506494,0.0,0.0025940337224383916,0.5198201879852881,0.0008503401360544218,1.0,0.0004253509145044662
4,0.0006136224176723256,0.001277139208173691,0.0006385696040868455,0.0,0.0025510204081632655,-0.00043898867837002353,-0.001964891528458891,0.0009824457642294455,0.4760670123653769,0.003917124647098511,0.5202288516550878,0.002548853016142736,1.0,0.0012760527435133986
5,0.0010227040294538761,0.0021285653469561515,0.0010642826734780758,0.0,0.004248088360237893,0.0003587775761174116,-0.0006998693905714778,0.0003499346952857389,1.4282010370961307,0.00139346836238028,0.5206375153248877,0.004244482173174873,1.0,0.002126754572522331
6,0.0012272448353446513,0.002554278416347382,0.001277139208173691,0.0,0.005095541401273885,0.0007576607033611292,-6.735832162777129e-05,3.3679160813885646e-05,1.9042680494615076,0.00013402853827168548,0.5208418471597875,0.005091217649554519,1.0,0.002552105487026797
7,0.0018408672530169769,0.002979991485738612,0.0018836965302708808,0.0,0.005937234944868533,0.00031867202499110585,-0.00136605962032907,0.0009137720186913779,1.1901675309134425,0.0027078017928189495,0.5206375153248877,0.0059322033898305095,0.7777777777777778,0.0029774564015312634
8,0.0057271425649417056,0.008088548318433376,0.005815927702523775,0.0,0.015986537652503154,0.0005370801721664466,-0.0034319886312296176,0.0023297485547933,1.0986161823816392,0.006649766177896846,0.521659174499387,0.015973097940311053,0.6785714285714286,0.008081667375584857
9,0.006954387400286357,0.009365687526607066,0.007045048487712982,0.0,0.018464120856063786,0.0012947408755275757,-0.0053968801596885095,0.004932064729389916,1.2060364313256215,0.010477707006369427,0.521659174499387,0.018448637316561843,0.6470588235294118,0.009357720119098255
10,0.0073634690120679075,0.009791400595998296,0.007454755416109384,0.0,0.01928721174004193,0.0012746880999644234,-0.004764369090744803,0.004306594599989183,1.1901675309134425,0.009205442527173698,0.521659174499387,0.019271051529116043,0.6388888888888888,0.009783071033602722
11,0.007977091429740233,0.011068539804171988,0.00809332502019623,0.0,0.021775544388609715,0.0008356994215943988,-0.006729260619203693,0.0052890403642186275,1.110823028852546,0.012978700482265189,0.5222721700040867,0.021757322175732216,0.6666666666666666,0.01105912377711612
12,0.013295152382900388,0.016602809706257982,0.013419515089349464,0.0,0.032311516155758085,0.003028470429425176,-0.004300253825870523,0.005149775623784219,1.2581771041084964,0.007927730327053729,0.5222721700040867,0.03228476821192053,0.6,0.01658868566567418
