epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
21,-0.05475275116964458,-0.1982687677161754,0.10736439061704554,0.18806698329300015,0.20633864790385015,-0.03048382035147933,-0.17887269642994832,0.09394187194631759,0.29181662975267625,0.18459995310423882,-0.07234287807662308,-0.10329303825690705,0.0641003577822936,0.12414094842496522,0.11720424486381925,0.5107070707070707,0.6694915254237288,0.41280209013716523
22,-0.05076235387828715,-0.18554614079470066,0.09963061035812892,0.19486613071082348,0.20180713213100632,-0.028522440175421875,-0.1295782249980723,0.06928891945089158,0.2952370435806831,0.12506685623370906,-0.06841364824448162,-0.09694641100977958,0.05962125383286172,0.12194873087556486,0.10983288145917908,0.5059942124844978,0.6891891891891891,0.3997387328543436
23,-0.052894189231688406,-0.1785612687575564,0.09708615085205728,0.19824270663936194,0.1892069149001993,-0.03132795865509899,-0.15179273652556097,0.08132147911266675,0.2657006517690875,0.13831436738215935,-0.07178410117880948,-0.10404437141513295,0.06434055705807624,0.12206035034109981,0.11624466983063902,0.5091352009744213,0.6727467811158798,0.40953625081645983
24,-0.05244888760361646,-0.1921906590671259,0.1034921315157117,0.18479843946571536,0.2021965322885521,-0.02864508850541838,-0.15874007248053051,0.08337166093448206,0.2996309246309246,0.16551008799812622,-0.06824722403327739,-0.10322584586064298,0.062217646035337054,0.12757903639375592,0.12414786436376735,0.5104981473857555,0.6904231625835189,0.40496407576747223
25,-0.05699084966992292,-0.212916679366434,0.1148644723939323,0.19394693642028735,0.22164659427443228,-0.03149877252359615,-0.1621944637211813,0.08603385236954432,0.3044407894736842,0.15995167061666432,-0.07678627794121816,-0.09643025123847804,0.06220273483539786,0.12125417875127358,0.10142278476361932,0.5217735550277118,0.6623115577889447,0.43043762246897455
26,-0.05301048826668321,-0.2052536397533197,0.11010499544494254,0.17716964407415342,0.21549078504081592,-0.029822909714939456,-0.1802683321767291,0.09445085064395502,0.26998249708284716,0.1853785900783289,-0.06858901089499042,-0.09619507785155368,0.059150838156833536,0.12320989131177798,0.11006166072216966,0.509075907590759,0.6909294512877939,0.403004572175049
27,-0.0563077547634743,-0.20819744582279254,0.11221820151018215,0.18476468632608695,0.21245109330458145,-0.03143720008262624,-0.1851106484694271,0.09709041556885313,0.28549340917298666,0.1860800041332455,-0.0739062445323613,-0.10032130182213561,0.06244423239238748,0.12396950839754725,0.11165701585073412,0.5274549098196393,0.6825726141078838,0.42978445460483344
28,-0.058544121527623616,-0.22428043118250074,0.12084997671597293,0.17896989519885143,0.22517598961399204,-0.03196851066196332,-0.16844012645539364,0.08916463401108654,0.29183166138683564,0.16258611352501856,-0.07730044797367182,-0.11284657532573039,0.06995046407853293,0.1164218711404196,0.11496582002818234,0.5299484331614439,0.6747474747474748,0.4363161332462443
29,-0.05982758344213726,-0.2289996647261422,0.12378529872671133,0.17490452538755888,0.22659894933136993,-0.03294224902278578,-0.18093916261855192,0.09572126167960329,0.28089229968782514,0.1734160926500643,-0.07796325066988341,-0.11830748462210383,0.07292668397484522,0.11828149565930685,0.12363235496761737,0.5280189423835833,0.6669990029910269,0.43696930111038534
30,-0.05823208176718027,-0.22707437999735847,0.12215524382576831,0.1723640799202472,0.22686696340257173,-0.031416841452950706,-0.18788649857352152,0.09837199562136978,0.29056781485468247,0.1907556578442654,-0.0761858736578128,-0.11281297912759836,0.06953319240670096,0.11441982651444435,0.11344318879146725,0.5291766586730616,0.6817713697219362,0.4323971260613978
31,-0.05790152470230228,-0.22012760726223496,0.11863388202163008,0.17504518849391373,0.21958013228708756,-0.03177088298852766,-0.18858046109954507,0.09887650681506839,0.28334453405017923,0.18871156242252934,-0.07584110731633159,-0.11827388842397185,0.07191944053641684,0.11629022468861146,0.12298660475211526,0.5299760191846523,0.6828012358393409,0.43305029392553884
32,-0.05837209331499675,-0.22175063752832053,0.11922738590231902,0.17940271235773617,0.22132358282683973,-0.03258125576000254,-0.1642686406045185,0.08729555622192814,0.2782580957409363,0.14995460764381724,-0.0769200132061352,-0.11212883836563659,0.06890687473497437,0.11762280793487158,0.11550470925470924,0.539102818578801,0.687246963562753,0.4435009797517962
33,-0.06234899124597841,-0.23666270433925657,0.12764292803931648,0.1725235476875056,0.22548174839417207,-0.03293579384752281,-0.15106022052586937,0.08065382830537135,0.3042023329976502,0.13703674825615214,-0.08146743886912829,-0.13257059782907477,0.07994794263353544,0.11508871203510711,0.13259239939382217,0.5530921820303383,0.6836538461538462,0.4644023514043109
34,-0.05874816640506088,-0.21925894317616101,0.11830703307077502,0.17110900166840073,0.21321499013806716,-0.03134881383671783,-0.1621867530264477,0.08568362791573772,0.2958935581727338,0.15639097744360908,-0.07663764527746021,-0.11912601017659386,0.07221003410939754,0.11452201436030646,0.12059361313092654,0.5390749601275918,0.691914022517912,0.44154147615937295
35,-0.05962353856470001,-0.21948499903481772,0.11840428520555496,0.18256691114009163,0.2160021265284423,-0.032853862776877366,-0.17537204102089599,0.09260499882825958,0.29093792866941015,0.16643677592147016,-0.08017750190276049,-0.12468770806736346,0.07609531851237003,0.1120434034663173,0.1204481792717087,0.5457400863761288,0.6840551181102362,0.45395166557805355
36,-0.061289823249465664,-0.2291876212827781,0.12373230562730982,0.17144711035082805,0.21833763112235954,-0.03233645565195284,-0.13300948415452235,0.0717131877908683,0.30353781656399725,0.11534526854219945,-0.07955930607190884,-0.11615427374182241,0.07136447637567836,0.11685495465443455,0.11660413397912556,0.5503724029792239,0.6882352941176471,0.45852384062704116
37,-0.0602711533340802,-0.21446351102847794,0.11611579603025837,0.1756324368682159,0.20346752209763774,-0.03195510375949408,-0.12189837304341122,0.0661104224413745,0.30605158730158727,0.10248906376011141,-0.07924424919694666,-0.11226322315816484,0.0692583144219842,0.11524394015069903,0.10970748955319831,0.5528902870625246,0.6946640316205533,0.45917700849118226
38,-0.061369087675591225,-0.21250012699767346,0.11557741516307335,0.17037556591113537,0.1948152933295053,-0.03158070359424159,-0.103145963451307,0.05673421764532238,0.3177136972193615,0.08309899776479929,-0.08135149515165754,-0.12710968853270133,0.07725004169074388,0.10726949441451598,0.11488372093023258,0.5568627450980392,0.6967615309126595,0.4637491835401698
39,-0.0640422746514956,-0.23771932498196635,0.12849673270520715,0.16529654136963243,0.2167264918413092,-0.03279973861505704,-0.12952425013493712,0.06986422578154512,0.3139851279494849,0.11158143861343006,-0.08306051479138554,-0.11553732537612471,0.07180437445749638,0.11183456208054597,0.10455591348366322,0.5660085172280295,0.6948669201520913,0.4774657086871326
40,-0.06413330670186791,-0.2408155282595223,0.13041830412509736,0.1546328529298001,0.21607508704647527,-0.03210506244637239,-0.1191148122445832,0.06466348197358618,0.31415478615071285,0.100821236100893,-0.08146147990959192,-0.11779132485080229,0.07260640869767437,0.11113597460736992,0.10835381116203574,0.5591565794611479,0.6951456310679611,0.4676681907250163
41,-0.0653601349644834,-0.2974683544303798,0.15990104025465157,0.14459648280489232,0.28969720698175194,-0.036275068725304956,-0.2077925718290119,0.1102336008462728,0.23239037988814484,0.20039036108400266,-0.07954626102423115,-0.15545247828926678,0.09292576445034484,0.11871116075786003,0.15308259639826727,0.5189573459715638,0.6378640776699029,0.4374167776298269
42,-0.07167675749114182,-0.3145292121160373,0.1703209094301498,0.1409838960902315,0.28804243663254053,-0.039874543765536445,-0.1824900724129876,0.09915190473228168,0.22549952123305358,0.14796324742561295,-0.0860208580403205,-0.15023343573864872,0.092344312176415,0.12137134134554495,0.1409699229523768,0.534502478078536,0.6253345227475469,0.466711051930759
43,-0.0620344663621155,-0.2740570367366107,0.14698813140849676,0.15393694473844574,0.2709584521672526,-0.03398520631599952,-0.13481896753095074,0.07356648470270213,0.2546265427256563,0.11714495182237122,-0.0754503870645758,-0.12496069087302547,0.07615202262432111,0.12713727843932196,0.12877656285960554,0.522609043617447,0.6549648946840522,0.4347536617842876
44,-0.06689950893358963,-0.299976519307533,0.160808092560139,0.15296940969100037,0.2865174692417218,-0.03795606960329294,-0.18038775986918942,0.09714056907235133,0.22934904002185835,0.15230490230490223,-0.08089175684360092,-0.10692687292871139,0.06878131897210289,0.1287264944198135,0.10276139017762248,0.5421359223300971,0.6505125815470643,0.4647137150466045
45,-0.06326217158179887,-0.25442397592161714,0.13750676120130995,0.1673812835041123,0.2449466272995683,-0.03595117513509413,-0.1551413221209998,0.08405099606274997,0.249055563026382,0.13419345459831733,-0.08016688259533368,-0.11666948886039819,0.07366082191740289,0.1218824387210225,0.1068405911676219,0.5353218210361067,0.6520076481835564,0.4540612516644474
46,-0.0627539069512008,-0.263063803445258,0.14091975372208024,0.16938330424750003,0.2564102564102565,-0.035399927141080215,-0.1656528848399907,0.08863663278337634,0.2568838823973639,0.15122373835824127,-0.08009770711001626,-0.1061165001572365,0.06791909373713569,0.12065068260058104,0.09136441531367595,0.5479559748427674,0.6689059500959693,0.4640479360852197
47,-0.06666309219609985,-0.27022541464768285,0.14602207065761907,0.16771058019408963,0.2539583738572262,-0.0350456769095121,-0.13616444755898155,0.07387093493814718,0.3005813011092159,0.13243319379205076,-0.08416193002214431,-0.1070780618786134,0.07000289788351663,0.12372046408126518,0.09303968044395827,0.5489443378119002,0.6482320942883046,0.4760319573901465
48,-0.06442716679153797,-0.2603154951224198,0.14024172247089625,0.1716811555059269,0.24916585390893708,-0.03552217335072867,-0.13125905162345247,0.07181399786597119,0.2752719380817906,0.11401906521184718,-0.082302023105591,-0.10594716853334624,0.06866552886854574,0.12232324919445198,0.09132940532534867,0.5494761350407451,0.6586046511627907,0.47137150466045274
49,-0.06589552167438235,-0.2814054261745682,0.15092188847721627,0.15837056052029289,0.265114138290227,-0.03487593604301255,-0.1354636767110488,0.07342448246134249,0.28359723572133744,0.12419976147065681,-0.0825421795074477,-0.1153511212172525,0.0730340246215148,0.11879170433228653,0.09727686475565639,0.5554259043173861,0.6679139382600561,0.47536617842876167
50,-0.06399211609754982,-0.27106858496808756,0.1449022769402695,0.17179570941894745,0.26292706203541394,-0.034105902652942444,-0.13686521840691424,0.07367654748374816,0.2973583362449088,0.1337432380900958,-0.08278282535849298,-0.1078884346500883,0.06950180815810948,0.11719592737193005,0.08544726301735661,0.5571984435797664,0.6704119850187266,0.4766977363515313
51,-0.06588925067338794,-0.278022071850919,0.1488612509950202,0.15752790339651687,0.25818340791654776,-0.03441967736270084,-0.11790703106750755,0.0643992470133095,0.29089402458741087,0.1058118960119776,-0.08233563194987256,-0.0957147004039769,0.06286893758822637,0.11905422743578331,0.0727334007414897,0.5675360062281043,0.683223992502343,0.48535286284953394
52,-0.06383110814701798,-0.2584103571199863,0.1386049004922236,0.16178541429912546,0.24098790607398846,-0.03364107496488383,-0.12563419761737915,0.06788072309444053,0.29097814475913003,0.11752928706519711,-0.0807168603335531,-0.09750477757081694,0.06315879412380111,0.11785399705440786,0.07477247502774709,0.5658153241650294,0.6903163950143816,0.4793608521970706
53,-0.06622177050111726,-0.26978781992443485,0.1447451563538065,0.16697727528206222,0.2504950621167005,-0.034618224997852165,-0.11368371875729971,0.062246466039403626,0.30316756469428563,0.10589159672429727,-0.08512402397713685,-0.10251820314956822,0.06713417643006198,0.11560523157659215,0.07285962764929466,0.5724191063174113,0.6791590493601463,0.49467376830892146
54,-0.0631282857105679,-0.25946165175998465,0.13857968563673653,0.17287759587535692,0.24949831706361575,-0.03425850550394818,-0.1298388227049755,0.07016135232868093,0.28724028321578154,0.11940421925227668,-0.08291921853237355,-0.11599216236483711,0.07300506803955151,0.11182876875113591,0.0866141030780882,0.5676309616888194,0.6875,0.4833555259653795
55,-0.06425565491434047,-0.2573483894379576,0.13800038144469678,0.17206056137444828,0.2431159119563972,-0.03362083720397897,-0.12071011445923846,0.06529330975486647,0.30937880260509537,0.11975623018872933,-0.0832991942524308,-0.09441447543481946,0.0626196792731062,0.11655410958785595,0.06632597538839236,0.5693203883495146,0.6831314072693383,0.48801597869507324
56,-0.06572604787250803,-0.26514504664119365,0.14214433981921962,0.17052873999857546,0.24731535115947967,-0.03497949436446166,-0.13052090633029662,0.07056316457422081,0.2965680479047371,0.12222855401089361,-0.08581186323680252,-0.10121797818041073,0.06671817782044974,0.1122689404679926,0.06504835464399317,0.5755007704160247,0.6828153564899452,0.4973368841544607
57,-0.06496051542611374,-0.26535317096078725,0.14167560961624792,0.17302994499572896,0.25014995008176444,-0.03536957049972292,-0.16209296893249237,0.08604351012027486,0.28531064599648165,0.15475901174564605,-0.08508894678528957,-0.1098115580928421,0.07021065890864336,0.11311488512168037,0.0771880473781198,0.5809192738509077,0.6918123275068997,0.5006657789613849
