epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,-0.2843117201881775,-0.29076202639421034,0.28455424154356185,0.7156882798118225,0.0016611295681063787,-0.03840373890684634,-0.08052440917716064,0.040733706757089594,0.9477962842991787,0.18328530177116242,0.48528810788720883,0.5697694278394534,0.476027397260274,0.7094853253934496
2,-0.29392513806504394,-0.29587058322690507,0.29399828373943676,0.706074861934956,0.0011820622060236818,-0.049790874616845726,-0.09390817910742011,0.05613402306255438,0.9319686218028559,0.1776130154511762,0.48998774008990603,0.5702479338842976,0.47902805901070294,0.704381114419396
3,-0.1256289629781142,-0.22988505747126442,0.15536247624219385,0.8429637962773573,0.02585901523202261,0.0826242866851743,-0.0364244231416907,0.06104110436888349,1.1306985900049775,0.17386215054454457,0.5852063751532489,0.640835102618542,0.5486216298091487,0.7703105061675882
4,-0.150378400490898,-0.21157939548744142,0.1784931098172115,0.8120269993863775,0.0037405731523378893,0.10714532196318682,-0.06716281820646142,0.08890878254229809,1.1801097771310753,0.13922990819744718,0.6275030649775235,0.670403182064726,0.5830188679245283,0.7886005954912803
5,-0.19251380650439764,-0.20774797786292043,0.2189002356506203,0.759357741869503,0.03308892648994177,0.14764825225856915,-0.06726385568890314,0.10279181249338279,1.2775089591663027,0.10919957023905447,0.6732733959950961,0.699718309859155,0.6264290517821116,0.7924287537218205
6,-0.0583759460012272,-0.21370796083439758,0.11584348172953474,0.9027067566646213,0.060756453872323424,0.2093608361606354,-0.029769913830634875,0.09467501155881239,1.4819135158297363,0.08137403403387788,0.7335512872905599,0.7393042782886844,0.6974726518294984,0.7864738409187579
7,-0.07883002659030469,-0.22009365687526605,0.1357686132145359,0.8686166223494922,0.05178680824994886,0.23980496002061424,-0.016083031453050456,0.10477392555674438,1.6019079280433293,0.06246998584893848,0.7478545157335513,0.7482660138718891,0.7189337514700117,0.780093577201191
8,0.27146655757823684,0.26117496807151974,0.23235913757906695,2.3573327878911843,0.10170462684429171,0.24348815357217635,-0.03682118008493718,0.10905220698769552,1.7027886609150966,0.016185576714509597,0.7795259501430323,0.7683057762508053,0.7758022549869905,0.76095278604849
9,0.25326242585395786,0.24670072371221796,0.21429524374587278,2.266312129269789,0.1017889740781307,0.2169835645780419,-0.06025776879666822,0.10126293393411151,1.6347301086369928,0.006437109415636355,0.7838169186759297,0.7683887915936952,0.7916102841677943,0.7464908549553382
10,0.23935365105338513,0.23137505321413365,0.20033319589840543,2.1967682552669254,0.09739826551034014,0.18822387386536804,-0.0830281672786417,0.09367117266774588,1.5492547517318258,0.001198895562875446,0.7829995913363302,0.764,0.799906933457422,0.7311782220331774
11,0.22094497852321537,0.2211579395487442,0.1822325130814587,2.1047248926160766,0.10211027910142956,0.18749061070560868,-0.07889630925684055,0.0839907507754595,1.5774710809732748,0.00433080872261471,0.791581528402125,0.7687074829931974,0.8232151529868869,0.7209698000850702
12,0.21951319288197996,0.2211579395487442,0.1808545603255532,2.0975659644099,0.10333333333333328,0.18469842881490273,-0.07889630925684055,0.08021105315126942,1.5688711607499004,0.002451756382470305,0.7930118512464241,0.7699295934590052,0.8260233918128655,0.7209698000850702
13,0.2148087543464921,0.22073222647935287,0.1763109951294402,2.0740437717324602,0.10692254969156967,0.19269831651935954,-0.06987275848755925,0.07740697046475653,1.610040956938609,0.0031815875956682227,0.7973028197793216,0.7735159817351599,0.8348940364711681,0.7205444491705657
14,0.21378605031703823,0.22073222647935287,0.17532674316093627,2.0689302515851913,0.10780725831046056,0.19233953894324213,-0.06987275848755925,0.07640552924424712,1.6105245737467007,0.0033885533497949316,0.798324478953821,0.7744,0.8369565217391305,0.7205444491705657
15,0.205808958887298,0.21519795657726692,0.16744149797367283,2.0290447944364898,0.10877759827679057,0.17678309698073713,-0.0780954023838274,0.06647797430253238,1.5611452825705048,0.001911785170262803,0.8009807928075194,0.7753690036900369,0.8468513853904283,0.7150148872820077
16,0.20560441808140723,0.21562366964665813,0.16726065372096688,2.028022090407036,0.10941828254847652,0.17147729967318992,-0.08518774078546376,0.06724588709966992,1.5399951376252037,0.004303470941195986,0.8015937883122191,0.7760092272202999,0.8477822580645161,0.7154402381965121
17,0.20519533646962568,0.21477224350787572,0.16683494065157567,2.025976682348128,0.10885296381832188,0.17067953341870246,-0.08645276292335113,0.0678783981686136,1.537482910647022,0.00517727319390382,0.8011851246424193,0.7754442649434571,0.8476286579212916,0.7145895363675032
18,0.20560441808140723,0.21562366964665813,0.16726065372096688,2.028022090407036,0.10941828254847652,0.1706594806431393,-0.0871189531531088,0.06821149328349244,1.536711699993641,0.005538911059968288,0.8015937883122191,0.7760092272202999,0.8477822580645161,0.7154402381965121
19,0.20703620372264264,0.21690080885483187,0.1686866248998569,2.0351810186132133,0.10954905124068526,0.17099820544369354,-0.08522141994627763,0.06687503969874592,1.5356597328006516,0.0029789171459632113,0.8013894564773192,0.7761400276370336,0.8463083877448518,0.7167162909400255
20,0.20724074452853342,0.21732652192422308,0.1688994814345525,2.036203722642667,0.10983102918586796,0.1705792695408867,-0.08652012124497888,0.06752439034809654,1.5336470726003888,0.0037760026742623687,0.8015937883122191,0.7764218282293345,0.8463855421686747,0.71714164185453
21,0.20908161178155038,0.21988080034057045,0.17076717182382853,2.0454080589077517,0.11098336782402085,0.17416921768608018,-0.08272505483131665,0.0672467275516326,1.54487801129315,0.001993739712837561,0.8022067838169187,0.7775735294117647,0.8455772113943029,0.7196937473415568
22,0.21051339742278585,0.22328650489570034,0.17227317370769268,2.0525669871139294,0.11340679522497721,0.175325761516685,-0.07959617864741209,0.06429316125784,1.5470622127324538,0.0013001633278274527,0.8040457703310175,0.7799954117916953,0.8466135458167331,0.7230965546575925
23,0.21030885661689508,0.22328650489570034,0.17207632331399192,2.0515442830844752,0.11358591657099126,0.17492687838944132,-0.07959617864741209,0.06375320445438427,1.5458175930922828,0.0015766256933217315,0.8042501021659174,0.7801743919229004,0.8470353761833582,0.7230965546575925
24,0.2101043158110043,0.22371221796509155,0.17189547906128594,2.0505215790550215,0.11422446792221708,0.17616363332229873,-0.0789636675784684,0.06405537810977019,1.551117421678017,0.0009918710004083175,0.804863097670617,0.7808124856552674,0.8479561316051845,0.723521905572097
25,0.2101043158110043,0.22371221796509155,0.17189547906128594,2.0505215790550215,0.11422446792221708,0.17616363332229873,-0.0789636675784684,0.06405537810977019,1.551117421678017,0.0009918710004083175,0.804863097670617,0.7808124856552674,0.8479561316051845,0.723521905572097
26,0.21030885661689508,0.22413793103448276,0.17210833559598154,2.0515442830844752,0.11450440107156534,0.17656251644954246,-0.07833115650952471,0.06373912257529835,1.5523653037549907,0.001423318266571827,0.8050674295055169,0.781092244148692,0.8480318883906328,0.7239472564866014
27,0.22053589691143383,0.23903788846317586,0.1825110702158399,2.1026794845571692,0.1215285660234583,0.19977794893193063,-0.05233084436120494,0.060536661349743524,1.6282871727279558,0.013041825846531685,0.8091540662035145,0.7881125226860254,0.8444336412250851,0.7388345384942577
28,0.22053589691143383,0.23903788846317586,0.1825110702158399,2.1026794845571692,0.1215285660234583,0.19977794893193063,-0.05233084436120494,0.060536661349743524,1.6282871727279558,0.013041825846531685,0.8091540662035145,0.7881125226860254,0.8444336412250851,0.7388345384942577
29,0.22564941705870323,0.24627501064282675,0.18770443445527163,2.1282470852935162,0.12475545522949605,0.20975002711302365,-0.04157815618916194,0.05947997169136781,1.6596486359931324,0.017926154943813555,0.8109930527176133,0.7913376945635011,0.8424591738712777,0.7460655040408337
30,0.225853957864594,0.24627501064282675,0.18790128484897245,2.12926978932297,0.12457684495599197,0.21014891024026733,-0.04157815618916194,0.060019928494823536,1.6609030945237393,0.017651621153398023,0.8107887208827135,0.7911592241768156,0.842054728756601,0.7460655040408337
31,0.22789936592350174,0.25053214133673907,0.1900298501959286,2.1394968296175088,0.1272986564587555,0.2165911986028563,-0.033321833132079814,0.057590109763051685,1.6838666548479073,0.021417207965742424,0.8128320392317123,0.793879387938794,0.842809364548495,0.7503190131858783
