epoch,Data_selection_execution_time
21,1.3412392139434814
41,2.797152042388916
61,1.4748342037200928
81,1.370224952697754
101,1.4649240970611572
121,1.758011817932129
141,1.4527678489685059
161,1.4686052799224854
181,2.736320972442627
201,1.384566068649292
