epoch,accuracy,Model_training_time,Full_training_time
21,94.99816231748471,2.0094070434570312,355.8065881729126
22,95.00818604029536,4.980690956115723,355.8065881729126
23,95.01486852216914,2.5340123176574707,355.8065881729126
24,94.97477363092652,11.753566026687622,355.8065881729126
25,94.99816231748471,4.947479963302612,355.8065881729126
26,94.98145611280027,2.02502989768982,355.8065881729126
27,95.0015035584216,2.6954288482666016,355.8065881729126
28,95.00818604029536,2.077812910079956,355.8065881729126
29,94.98479735373718,2.016529321670532,355.8065881729126
30,95.00484479935848,10.649459838867188,355.8065881729126
31,94.98145611280027,4.932814836502075,355.8065881729126
32,94.9781148718634,2.024255990982056,355.8065881729126
33,95.00484479935848,2.528657913208008,355.8065881729126
34,95.01486852216914,2.0703320503234863,355.8065881729126
35,94.98145611280027,11.315203189849854,355.8065881729126
36,95.03491596779044,4.975071907043457,355.8065881729126
37,95.0015035584216,2.0507798194885254,355.8065881729126
38,94.98479735373718,2.4639291763305664,355.8065881729126
39,94.9781148718634,2.056016206741333,355.8065881729126
40,95.018209763106,2.0081520080566406,355.8065881729126
41,95.03825720872732,8.67853593826294,355.8065881729126
42,95.03157472685356,4.834169864654541,355.8065881729126
43,95.02489224497978,2.026153802871704,355.8065881729126
44,95.01486852216914,2.0475361347198486,355.8065881729126
45,94.98813859467406,2.0903890132904053,355.8065881729126
46,95.03157472685356,2.026331901550293,355.8065881729126
47,95.00484479935848,10.749081134796144,355.8065881729126
48,95.01486852216914,4.923609018325806,355.8065881729126
49,95.01152728123223,2.017354965209961,355.8065881729126
50,95.02489224497978,2.435993194580078,355.8065881729126
51,95.02489224497978,2.081284761428833,355.8065881729126
52,94.99147983561096,11.131666898727415,355.8065881729126
53,95.018209763106,4.865707874298096,355.8065881729126
54,94.99816231748471,2.026467084884644,355.8065881729126
55,94.99147983561096,2.348775148391724,355.8065881729126
56,94.9781148718634,2.11043119430542,355.8065881729126
57,94.99816231748471,2.0251948833465576,355.8065881729126
58,94.98479735373718,11.042813301086426,355.8065881729126
59,94.9781148718634,4.83108925819397,355.8065881729126
60,94.961408667179,2.0532870292663574,355.8065881729126
61,95.01486852216914,2.0958290100097656,355.8065881729126
62,95.03157472685356,4.876564025878906,355.8065881729126
63,95.018209763106,11.17184591293335,355.8065881729126
64,95.04828093153796,2.10034728050232,355.8065881729126
65,95.03157472685356,2.181364059448242,355.8065881729126
66,94.99816231748471,4.211688280105591,355.8065881729126
67,95.01486852216914,2.383028984069824,355.8065881729126
68,95.01152728123223,2.06396484375,355.8065881729126
69,95.04493969060108,9.644339084625244,355.8065881729126
70,95.02823348591669,5.017590761184692,355.8065881729126
71,95.02823348591669,2.054753065109253,355.8065881729126
72,95.01152728123223,2.9775872230529785,355.8065881729126
73,95.05162217247484,2.721575975418091,355.8065881729126
74,95.01152728123223,4.392091035842896,355.8065881729126
75,95.02823348591669,11.626069068908691,355.8065881729126
76,95.02489224497978,2.052819013595581,355.8065881729126
77,95.0415984496642,2.7040278911590576,355.8065881729126
78,95.0215510040429,3.8021280765533447,355.8065881729126
79,95.01152728123223,2.0568478107452397,355.8065881729126
80,95.02823348591669,12.033460140228271,355.8065881729126
