epoch,Model_training_time,Full_training_time,Loss
1,3.0992071628570557,290.9279010295868,0.45959994196891785
2,3.2972018718719482,290.9279010295868,0.40275219082832336
3,3.319898843765259,290.9279010295868,0.39645254611968994
4,3.0964620113372803,290.9279010295868,0.3603766858577728
5,3.3077919483184814,290.9279010295868,0.38931331038475037
6,3.293865919113159,290.9279010295868,0.38400140404701233
7,3.1123011112213135,290.9279010295868,0.3761403560638428
8,3.0869550704956055,290.9279010295868,0.38567444682121277
9,3.3255038261413574,290.9279010295868,0.4158082604408264
10,3.085536003112793,290.9279010295868,0.4001694321632385
11,3.320513963699341,290.9279010295868,0.38052406907081604
12,3.313732862472534,290.9279010295868,0.36380264163017273
13,3.0886192321777344,290.9279010295868,0.38676249980926514
14,3.304152250289917,290.9279010295868,0.3786731958389282
15,3.349310874938965,290.9279010295868,0.3550589680671692
16,3.175507068634033,290.9279010295868,0.38115379214286804
17,3.3131041526794434,290.9279010295868,0.35852324962615967
18,3.3221330642700195,290.9279010295868,0.3541284501552582
19,3.083920955657959,290.9279010295868,0.3669988811016083
20,3.3009400367736816,290.9279010295868,0.3751019537448883
21,3.317044973373413,290.9279010295868,0.3734493851661682
22,3.1245839595794678,290.9279010295868,0.3688099682331085
23,3.0956850051879883,290.9279010295868,0.37156304717063904
24,3.3093719482421875,290.9279010295868,0.39824429154396057
25,3.103732109069824,290.9279010295868,0.3672638535499573
26,3.301201820373535,290.9279010295868,0.3752804696559906
27,3.4004437923431396,290.9279010295868,0.3741673529148102
28,3.1042659282684326,290.9279010295868,0.3525157868862152
29,3.3330509662628174,290.9279010295868,0.3857615888118744
30,3.327393054962158,290.9279010295868,0.37188252806663513
31,3.13289213180542,290.9279010295868,0.3599420487880707
32,3.309385061264038,290.9279010295868,0.3899501860141754
33,3.40987491607666,290.9279010295868,0.39183226227760315
34,3.1157431602478027,290.9279010295868,0.37369072437286377
35,3.322469711303711,290.9279010295868,0.39421653747558594
36,3.3109750747680664,290.9279010295868,0.3902229964733124
37,3.0921647548675537,290.9279010295868,0.3725453317165375
38,3.311594009399414,290.9279010295868,0.3805423080921173
39,3.3274691104888916,290.9279010295868,0.3762429654598236
40,3.0684988498687744,290.9279010295868,0.3762102425098419
41,3.3351168632507324,290.9279010295868,0.36918801069259644
42,3.314779043197632,290.9279010295868,0.3920983374118805
43,3.1049890518188477,290.9279010295868,0.36568182706832886
44,3.323408842086792,290.9279010295868,0.36559292674064636
45,3.329719066619873,290.9279010295868,0.3730638325214386
46,3.0825858116149902,290.9279010295868,0.37325233221054077
47,3.322942018508911,290.9279010295868,0.372435063123703
48,3.341792106628418,290.9279010295868,0.36001044511795044
49,3.101824998855591,290.9279010295868,0.36726921796798706
50,3.386159896850586,290.9279010295868,0.37050095200538635
51,3.457712173461914,290.9279010295868,0.38428759574890137
52,3.089815855026245,290.9279010295868,0.36761441826820374
53,3.3654158115386963,290.9279010295868,0.36810997128486633
54,3.087653875350952,290.9279010295868,0.3909405767917633
55,3.0938098430633545,290.9279010295868,0.3555547893047333
56,3.3062000274658203,290.9279010295868,0.36458200216293335
57,3.0993258953094482,290.9279010295868,0.3611724376678467
58,3.091747999191284,290.9279010295868,0.3627799451351166
59,3.355910062789917,290.9279010295868,0.3509426414966583
60,3.100922107696533,290.9279010295868,0.3687257766723633
61,3.1520192623138428,290.9279010295868,0.36591699719429016
62,3.375418186187744,290.9279010295868,0.3852163255214691
63,3.1540768146514893,290.9279010295868,0.36680448055267334
64,3.0903711318969727,290.9279010295868,0.35478198528289795
65,3.3459579944610596,290.9279010295868,0.36576640605926514
66,3.087064027786255,290.9279010295868,0.36130616068840027
67,3.097564935684204,290.9279010295868,0.3594105541706085
68,3.3296468257904053,290.9279010295868,0.36071041226387024
69,3.110046148300171,290.9279010295868,0.35621169209480286
70,3.0876941680908203,290.9279010295868,0.36521226167678833
71,3.350929021835327,290.9279010295868,0.38288021087646484
72,3.099271059036255,290.9279010295868,0.3766801953315735
73,3.1210978031158447,290.9279010295868,0.3822498023509979
74,3.351331949234009,290.9279010295868,0.3586329519748688
75,3.1156961917877197,290.9279010295868,0.37854886054992676
76,3.3344640731811523,290.9279010295868,0.3737885057926178
77,3.1072909832000732,290.9279010295868,0.3772628903388977
78,3.084223985671997,290.9279010295868,0.3493790030479431
79,3.3581340312957764,290.9279010295868,0.358397513628006
80,3.103116989135742,290.9279010295868,0.37411364912986755
