,SPD_age,EOD_age,AOD_age,DI_age,DiscIndex_age,SPD_gender,EOD_gender,AOD_gender,DI_gender,DiscIndex_gender,Accuracy,F1_score,Precision,Recall,DcI_age,DcI_gender
88,0.004295333178546579,-0.0031250000000000444,0.021783088235294137,1.004715177774946,,-0.8444413132309426,-0.25,0.364202657807309,0.1499290780141844,,0.982,0.9900771775082691,0.9824945295404814,0.9977777777777778,0.00209007392012861,0.450081168831169
89,0.00831978948997758,-0.0031250000000000444,0.005238970588235317,1.0092021914055813,,-0.8635104034568597,-0.25,0.3044019933554817,0.1287968535279344,,0.986,0.9922651933701657,0.9868131868131869,0.9977777777777778,0.00014246198045908542,0.3966480446927374
90,0.011144648247039757,-0.0031250000000000444,0.012591911764705907,1.012326656394453,,-0.8657179089756235,-0.25,0.37583056478405313,0.12851063829787235,,0.984,0.9911699779249448,0.9846491228070176,0.9977777777777778,0.001683182400075811,0.39553571428571443
91,-0.010602894512808603,0.0,0.09926470588235294,0.9886174808906614,,-0.7380583345075384,0.0,0.1926910299003322,0.2570212765957447,,0.976,0.9868421052631579,0.974025974025974,1.0,0.013268465280849129,0.4955357142857144
92,0.016368702112839584,0.004567307692307621,0.004121889140271458,1.0183833116036507,,-0.9486167864355831,-0.5,0.4642857142857143,0.042932284509311476,,0.99,0.9944506104328523,0.9933481152993349,0.9955555555555555,0.0030121204848193583,0.32998137802607075
93,0.020393158424270585,0.004567307692307621,0.016989536199094987,1.0230806289142906,,-0.9442017753980556,-0.5,0.3214285714285714,0.04312437526774239,,0.994,0.996662958843159,0.9977728285077951,0.9955555555555555,0.0007360038610038089,0.3322135125046659
94,0.01756829966720841,0.0014423076923076872,0.01542703619909502,1.0198835019489336,,-0.9419942698792918,-0.4977578475336323,0.3203074951953876,0.04322106669210953,,0.992,0.9955456570155902,0.9977678571428571,0.9933333333333333,0.0008338318197472772,0.33109118086696565
95,0.005494930732915404,-0.0031250000000000444,0.01994485294117649,1.0060777264167096,,-0.8847869992015405,-0.25,0.3160299003322259,0.10733071127327869,,0.988,0.993362831858407,0.9889867841409692,0.9977777777777778,0.0014030581912440887,0.32998137802607086
96,0.016368702112839584,-0.0031250000000000444,0.030974264705882375,1.0183833116036507,,-0.9251326851721385,-0.25,0.26785714285714285,0.06454217325227962,,0.994,0.9966703662597114,0.9955654101995566,0.9977777777777778,0.004680187207488307,0.1406200063918185
97,0.016368702112839584,-0.0031250000000000444,0.030974264705882375,1.0183833116036507,,-0.9251326851721385,-0.25,0.26785714285714285,0.06454217325227962,,0.994,0.9966703662597114,0.9955654101995566,0.9977777777777778,0.004680187207488307,0.1406200063918185
