epoch,Model_training_time,Full_training_time,Loss
1,0.03752493858337402,30.6868999004364,0.6402571797370911
2,0.037201881408691406,30.6868999004364,0.6378836035728455
3,0.038536787033081055,30.6868999004364,0.6373061537742615
4,0.03737378120422363,30.6868999004364,0.6346951723098755
5,0.03871488571166992,30.6868999004364,0.6288895606994629
6,0.0374600887298584,30.6868999004364,0.6345685124397278
7,0.03800773620605469,30.6868999004364,0.6325199604034424
8,0.03687286376953125,30.6868999004364,0.6325087547302246
9,0.03817391395568848,30.6868999004364,0.6345552802085876
10,0.038290977478027344,30.6868999004364,0.6305316686630249
11,0.03815913200378418,30.6868999004364,0.6300318241119385
12,0.03716707229614258,30.6868999004364,0.6205370426177979
13,0.3372800350189209,30.6868999004364,0.6187148690223694
14,0.03680992126464844,30.6868999004364,0.6193993091583252
15,0.03885316848754883,30.6868999004364,0.6169998049736023
16,0.03702974319458008,30.6868999004364,0.6103692054748535
17,0.03980207443237305,30.6868999004364,0.6084824204444885
18,0.03826308250427246,30.6868999004364,0.6085844039916992
19,0.03858494758605957,30.6868999004364,0.6076560020446777
20,0.03809309005737305,30.6868999004364,0.6069086194038391
21,0.03416705131530762,30.6868999004364,0.6088914275169373
22,0.039237022399902344,30.6868999004364,0.600946843624115
23,0.036437034606933594,30.6868999004364,0.6037516593933105
24,0.0400848388671875,30.6868999004364,0.6008998155593872
25,0.037760019302368164,30.6868999004364,0.602310299873352
26,0.04014992713928223,30.6868999004364,0.5968372821807861
27,0.037999868392944336,30.6868999004364,0.596642017364502
28,0.03829193115234375,30.6868999004364,0.588884711265564
29,0.03992199897766113,30.6868999004364,0.5921115875244141
30,0.03797793388366699,30.6868999004364,0.5909970998764038
31,0.04018902778625488,30.6868999004364,0.5865370035171509
32,0.03680586814880371,30.6868999004364,0.5875966548919678
33,0.039948225021362305,30.6868999004364,0.5897303819656372
34,0.03717207908630371,30.6868999004364,0.5944839715957642
35,0.038526058197021484,30.6868999004364,0.5818254351615906
36,0.03885984420776367,30.6868999004364,0.583859920501709
