epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,-0.07231964467792695,0.035579970966330365,0.045004682988562306,0.7858916882089105,0.04505440347366496,-0.23639533204412613,-0.16142428830112504,0.16646864115439974,0.42452398977005223,0.23938593287166993,-0.07923582211529023,0.07200985785236491,0.05201375197928598,0.7757386865747419,0.15311204372754178,0.4906768837803321,0.4319280494659921,0.5679231337767923
2,-0.003379800444550607,0.15496034917912865,0.08322399436860614,0.9769357994203162,0.06738512914784522,-0.15106747288614666,-0.1248345058924808,0.08986724656734144,0.24151719189536805,0.14210696130424716,-0.07335068477150362,0.10675795893159884,0.06234322411084646,0.568011987024015,0.02909025738276816,0.5371854613233923,0.7268600252206809,0.42601626016260163
3,-0.010823864634118663,0.1350453186840868,0.07307627322573831,0.9337955868058712,0.040300279252001414,-0.1667202860624034,-0.12721524623742098,0.09508050709803216,0.24419850745390495,0.13847863334948718,-0.09721290571069405,0.05389299901235067,0.04150420654411352,0.49743226701422444,0.010595740757535,0.5685361046407454,0.7216283829884012,0.4690317812269032
4,-0.015745392316583978,0.12991840537655763,0.06936153334488185,0.9082343764662961,0.03482787581772062,-0.17652271096251493,-0.1387152313949001,0.10289780636898642,0.23727803606451883,0.1434116195775461,-0.11085205535132092,0.02931395823703381,0.032910970110990395,0.4599160805475442,0.022663161723827874,0.5857608026049459,0.7237929534580252,0.4919438285291944
5,-0.022142645580239817,0.12057208278632803,0.06309005975326237,0.8793491816867689,0.025281815196207535,-0.1869393189621922,-0.14524297206637576,0.10894287960410635,0.24055092737330502,0.14790932454042832,-0.12735758176602313,-0.002115109309415164,0.02413623958456851,0.4253888761745742,0.041133702562454744,0.6017319729057704,0.7164148632094732,0.5186991869918699
6,-0.024048099953985408,0.11323373395922054,0.059368389864486094,0.86975665039992,0.019981513926635275,-0.18953878107584723,-0.1496571377682786,0.11158245662837486,0.23546032005542192,0.14837365532842045,-0.13163997941113478,-0.010354266137849066,0.029482974313391964,0.4119910138830776,0.04248401019419856,0.6063665925038506,0.7199756147124569,0.5237250554323725
7,-0.02770795231426096,0.1060374854064633,0.05492709526770275,0.8534684043222047,0.015142834495557311,-0.1940012071121287,-0.15348353964437322,0.11443476203437745,0.23447584649298323,0.14972820592312153,-0.13965515994761032,-0.025065961238990853,0.03923689459023827,0.3938814223308985,0.047932791360412175,0.6140931060798779,0.7201670644391408,0.5352549889135255
8,-0.028285480944924835,0.10529711068158076,0.054510468546286134,0.8514900990351766,0.014017484065426689,-0.197443979539272,-0.16340724908718496,0.12024029124140134,0.2285002504262364,0.15559952012704203,-0.14290777947739391,-0.0355926603946386,0.04512951480916765,0.38600478368194097,0.05466351013799309,0.6168413933040244,0.720521429982224,0.5392461197339247
9,-0.03271754251215672,0.09730962196482695,0.048998374548460066,0.8300535744848857,0.01250474523596945,-0.2001443359753909,-0.16849823374001838,0.12322981577582842,0.2251724771992949,0.15768459418747632,-0.1483981476668803,-0.04335870520927221,0.05102764395639196,0.37109734927142324,0.05343660855342114,0.6212185050981713,0.7224617796942375,0.5448632668144864
10,-0.03239687419229384,0.10390759606705191,0.052087544118128055,0.8307406431988835,0.019423598263138442,-0.20253709778919207,-0.17668536824294234,0.12818837137392458,0.21521890108229183,0.15933255994427176,-0.15001709062338864,-0.047981601621388204,0.05392193835537584,0.3627657101278544,0.05312880846308565,0.6215576955566819,0.7252119061699192,0.5438285291943828
