epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,0.3088163468452757,0.3866572686712494,0.32933272772214295,2.0787559512425298,0.07971927972683357,0.27011452776676403,0.1264731201947339,0.193095378361812,2.1524057276486546,0.11439322935579736,0.22954950118831952,0.29397827309454616,0.23979434290935292,1.8999183369601007,0.006929183139049611,0.16376950015918498,0.14384787472035795,0.1900960827790096
2,0.2565287873174238,0.37031573712095156,0.30427551854768486,5.543029524600229,0.17604523555124135,0.06881199974571321,0.08699498322795143,0.08306164885096531,2.011099859368773,0.01640505435149167,0.08094849344613876,0.21316173112393533,0.14031078816149514,2.2254387346673092,0.12687805766258015,0.1588089330024814,0.2939297124600639,0.10879526977087953
3,0.1486832448988024,0.348721339747223,0.23385126993169542,6.798150112839942,0.26861337255975215,0.001686674208666604,0.07365155698043754,0.04433362787330457,1.0368368810113626,0.052862031972577245,0.03125589833000779,0.18113113297986,0.10338426471493663,1.861789881432332,0.1860649287127412,0.1774675972083749,0.5655281969817315,0.10524759793052477
4,0.10810077445486896,0.31987498405408854,0.19919246111609715,4.945509360142631,0.2800530942301389,-0.015401616259532944,0.060100335440971306,0.03140780159877815,0.6783930592923388,0.056952084242959305,0.017165835525733954,0.16818605643444423,0.09213125306712933,1.4649207046593695,0.18831751824702667,0.20207123010861328,0.6938421509106678,0.11825572801182557
5,0.08455356115291518,0.2940006233034761,0.1760682081320128,3.5032783713193227,0.2671146030915607,-0.023890521747897124,0.055662421705702486,0.02791902592918573,0.557321205970281,0.05367954537331571,0.00787827447966552,0.1595770057550167,0.08566645020757406,1.1831250054051874,0.17804076779662067,0.23419145213696577,0.7574777687954729,0.1385070214338507
6,0.07445521721442615,0.2862618100668356,0.16794621129998547,2.890434150991066,0.2592859440967019,-0.029073823935781604,0.052269421438537134,0.026581036751582292,0.5153536716462466,0.046474678250883195,0.002006791775660398,0.1606264479454235,0.08456731552768221,1.0408544538541595,0.17653025690393542,0.25924100542138984,0.7786824574389342,0.15550628233555064
7,0.06530677925099687,0.2709157878249131,0.1573124170119363,2.4230420303395857,0.24089207647912647,-0.03503972242874656,0.048538011695906436,0.02568402963515736,0.4794900979635226,0.038762719680154545,-0.0037062301358941757,0.15315486832434805,0.07994374742349417,0.9340528062156737,0.1613601626194981,0.2831193993703076,0.7829872739450771,0.1728011825572801
8,0.05758561439333192,0.255534240514403,0.14745193694897593,2.1181565807263842,0.22274270196877122,-0.03992625944923523,0.04532905868732745,0.02460584798213507,0.4572803512858009,0.03184084181903152,-0.009562849001772039,0.1429226343622585,0.07394530064447552,0.8473020902438783,0.145146217598973,0.30425963488843816,0.7889851485148515,0.188470066518847
9,0.05468988640455653,0.2576746258968061,0.1473938651354731,1.9678038307000272,0.21891289093825178,-0.04541123845944164,0.03527176655683201,0.020187388715798532,0.43306806340315523,0.016503100839484308,-0.013340136593277506,0.13857659737011166,0.07146865605413194,0.8051193888127647,0.13395613477918167,0.3230660710086997,0.7892016082711085,0.2031042128603104
10,0.05093068668159839,0.2551644568459229,0.14485948771010707,1.8199103447246427,0.2112410964806613,-0.05018025297297114,0.03677086116305994,0.022216496190605152,0.42228712028566967,0.01611602862339845,-0.01917198239560993,0.12809270440907256,0.0650010837353195,0.7458085828660035,0.11818439716312057,0.33965756594169366,0.7812666311868015,0.21699926090169994
11,0.04943396314314612,0.25577322733944685,0.1448908910050637,1.7402102211927886,0.20476987591081552,-0.054953172996357054,0.030252026004096544,0.019751475253177317,0.40907715073007134,0.005822951213446725,-0.022563114045647398,0.12717168080249186,0.06387991632331913,0.7213675432278257,0.11258151190813864,0.35459212778094695,0.777,0.22971175166297117
