epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.10346216701774061,0.30983315685545026,0.2053674112201918,1.8487693271474357,0.07094933703602385,-0.1151329368524077,-0.06093216398646806,0.05055259645120709,0.3487814116701785,0.1137392553000538,-0.06688963103361655,0.06203292375236413,0.039464605636614906,0.5768521907119033,0.010042058508804186,0.8021248339973439,0.48191933240611956,0.6754385964912281,0.3745945945945946
2,0.06277829219435355,0.2648742237357983,0.16609163587088582,1.4481202255150059,0.06271142336716129,-0.13275726690736508,-0.04121787369129887,0.045206235089940976,0.321114961627274,0.078883905795189,-0.09337024189358421,0.03560161334269363,0.0337546312994355,0.47914906844738925,0.013925239378006271,0.8156042496679947,0.5325702743645852,0.7059348505131637,0.4275675675675676
3,0.047251478384051526,0.2302642875540165,0.14498537638236944,1.3008599286407208,0.0352535531073922,-0.15037351832057175,-0.07126388866620703,0.06382630211122564,0.3056344447449983,0.10490933517249301,-0.1120241587680033,0.009011504863048081,0.025484712899607603,0.440320463309242,0.03171256437588099,0.8207171314741036,0.5619727449707982,0.702922077922078,0.4681081081081081
4,0.036378023632010564,0.20799587900294764,0.1306065646006722,1.2197591832823367,0.023108907224329123,-0.16142608590715543,-0.08747334498404707,0.07494473397652848,0.29020535367457617,0.11241925424087412,-0.12358041652355198,-5.6550391825671564e-05,0.025196760841528436,0.4140324829605225,0.029385080316173706,0.8237051792828686,0.5764874780666773,0.7033865317244063,0.4883783783783784
5,0.026339030445673317,0.18903643075866416,0.1179543880197021,1.1504259026333699,0.012927423721205478,-0.17403241982126838,-0.1108014942842026,0.09027741150034517,0.27496399650037767,0.1263206895548475,-0.13419176132428712,-0.019692103109071935,0.03788263461162679,0.3969690867327098,0.04246849678956566,0.8254980079681274,0.5888610763454317,0.6991084695393759,0.5086486486486487
6,0.02127987663839631,0.17686303408407977,0.11070201245219691,1.1190681622088008,0.005761988509790039,-0.18028838083938672,-0.12118131824084905,0.09695805825129508,0.26460128267144806,0.12931061745797234,-0.14034057586733717,-0.030623465213797607,0.04486568288796605,0.3830000765485831,0.04628406095095472,0.8280212483399735,0.5975761342448725,0.7028508771929824,0.5197297297297298
7,0.013658313443242226,0.16464671035686684,0.10169366791428505,1.0750310569076034,0.004040809490460817,-0.18493731060972468,-0.1281396803001395,0.10164398982495523,0.25743483966292857,0.13067504093190535,-0.1461080632913152,-0.03805498640220123,0.0505425424527679,0.3691240348012871,0.04560042082032012,0.8297476759628154,0.60370942812983,0.7050541516245488,0.5278378378378379
8,0.009293068656782505,0.15841155596256762,0.09683761615303367,1.050242226126915,0.0032015631409998413,-0.19056191997695615,-0.13704445976495488,0.10824762909431412,0.24785086844046877,0.13208480027584035,-0.15197410201124278,-0.046850000371290446,0.057242682223824636,0.3555866221863433,0.04620511879835598,0.8302124833997344,0.6069177555726364,0.7037433155080214,0.5335135135135135
9,0.0077488351846181636,0.15332112297169675,0.09409204795802106,1.0420864289549823,0.0010409684609310466,-0.19270589099774726,-0.15077520001282652,0.11487321005504497,0.23846440726406648,0.1407704311109752,-0.15160565295689693,-0.05087250399994053,0.0582419188653952,0.3539090463865463,0.049792708595183366,0.8320717131474104,0.6102635228848822,0.7099318752240946,0.5351351351351351
10,0.004955122789802008,0.14882451420885445,0.09073410795129526,1.026924148547856,0.0014904807374007678,-0.1946080245921586,-0.15913806095781696,0.1192951594010857,0.23157001378158998,0.14504372018375383,-0.15242625848630867,-0.05214517342405761,0.0590238479354462,0.34986580712039766,0.048507485210672385,0.8330677290836653,0.6121567417463746,0.7131560028756291,0.5362162162162162
11,-0.000861391580865678,0.13656526342901287,0.08260961469278717,0.9953814597751849,0.001974252635217,-0.19746135060858747,-0.1674207564412949,0.12389508250204204,0.22842194718142256,0.1510847735320544,-0.15640050548610573,-0.05819035318861382,0.06340562440872648,0.34122211325549406,0.049016627185901385,0.8339309428950863,0.615644690333487,0.7135732098325615,0.5413513513513514
12,-0.002126733389160834,0.13448687863091313,0.08115781153455484,0.9886158761628494,0.0022564069016903776,-0.1997037728281301,-0.17671674335829152,0.12888175673815522,0.2224622061117057,0.156906561186545,-0.15659760807800482,-0.058304025188344266,0.06329169350063565,0.34093905882724396,0.048858706615863,0.8347277556440903,0.6176063911507144,0.7155571377714489,0.5432432432432432
13,-0.005090510674246401,0.13147483043814212,0.078205665221026,0.972694820742359,0.0004574794486714717,-0.20022026474714016,-0.18115149668916647,0.1309792388219902,0.21858035074486137,0.15935942789759971,-0.15722755004788053,-0.06432635630973849,0.06607610945111397,0.33663702688738306,0.05293660917309084,0.8353917662682603,0.6184392796675389,0.7182695745441544,0.542972972972973
14,-0.006972660501045835,0.1269782216752997,0.07530843933837222,0.9627837832516195,0.0010625715496468402,-0.20211835902067612,-0.18476856231261324,0.13360676044807895,0.21525315202358258,0.16038369274460157,-0.15851515592758764,-0.06559902573385556,0.06732694281775216,0.3342494672196888,0.05253198713000473,0.8352589641434263,0.6187183033656063,0.7171357320983256,0.544054054054054
15,-0.009965950131514384,0.1246029247631858,0.07267069954516259,0.9471119585901221,0.0011802433702831072,-0.20401645329421209,-0.18251110291641953,0.13353192284092458,0.21196020000331459,0.15402862750661278,-0.15980276180729475,-0.06814436458208972,0.06892855978279955,0.33188355003765146,0.05356156358831354,0.8356573705179283,0.6202240294614085,0.7174298899538516,0.5462162162162162
16,-0.013562398320747543,0.12430601264917152,0.07045522057223372,0.9279376049897191,0.007646572268381946,-0.20550862481011567,-0.18994083788940375,0.13741087997442597,0.20556749117579293,0.15778225926453482,-0.16022916215290833,-0.07057603143059354,0.07003242780252594,0.3284405996011727,0.05403175707955754,0.8365205843293493,0.621580079926222,0.7205987170349252,0.5464864864864865
17,-0.01711125785305065,0.11230074693071568,0.0636233970746315,0.909636394806976,0.0016813028012448994,-0.2071156560578961,-0.18974523416331307,0.1380829859737113,0.20314374757220335,0.15465750202010914,-0.16151676803261544,-0.07491670241527293,0.07241692663010266,0.32610582021918216,0.05717379183484794,0.8367861885790172,0.6227747084100675,0.7205255681818182,0.5483783783783783
18,-0.02075308127331013,0.10631957759780208,0.059210741873476185,0.8908485546979593,0.0018650096798600302,-0.20810774418791494,-0.19254461207933177,0.13946094225418754,0.20121665615991896,0.15584150675535235,-0.16311934489726043,-0.07989370811201096,0.07510700653872689,0.3216508226752043,0.05953658298337061,0.8377158034528552,0.6251533742331288,0.7226950354609929,0.5508108108108108
19,-0.022621581640369925,0.1075072260538591,0.05856673382395729,0.8803905773030584,0.00737441515001469,-0.20790680246953644,-0.19367334177742868,0.1397799023430626,0.19788585539926182,0.15503076209785732,-0.16154896319443085,-0.0765075391954193,0.07271544937245729,0.3231885509769241,0.057039187227866384,0.8384462151394423,0.6257498846331334,0.7261692252766869,0.5497297297297298
20,-0.024442493350499667,0.10661648971181636,0.05716397836231884,0.8710255741432137,0.009683074041339501,-0.2092760356118125,-0.20172516073175029,0.14390958932126116,0.1945142881797025,0.16181765690859745,-0.16295443746717675,-0.07957554075598167,0.07473657832664303,0.318987365329719,0.05746227205108001,0.8387118193891102,0.6264800861141012,0.7267213699607563,0.5505405405405406
21,-0.02570783515879488,0.10631957759780208,0.05629047663673536,0.8645692030830343,0.011651102217139941,-0.21035420572833294,-0.20203620272241907,0.1446821597258538,0.19195827350734468,0.15967101071531997,-0.16375572589949922,-0.07989370811201096,0.07533939375128128,0.31676424724415353,0.05612421042480342,0.8387118193891102,0.6265949269792468,0.7265597147950089,0.5508108108108108
22,-0.027714674644837373,0.09787725724751728,0.05165670570241048,0.8536999063314853,0.0075997693933762545,-0.20991142658357467,-0.20285389042984725,0.14488906417446074,0.19111145767143042,0.1605529599726062,-0.16367649170063892,-0.08041637082433911,0.07561613018359493,0.3151235623561307,0.05577060781906773,0.8387118193891102,0.6260200153964588,0.7273703041144901,0.5494594594594595
23,-0.02950386058368043,0.08616890364307583,0.045954777234877335,0.8453253549836963,0.0016846207735439211,-0.21096914884609455,-0.20234724471308785,0.1452198268538693,0.1915058973718207,0.1593464097668228,-0.16525331243583158,-0.0844388744529892,0.0781550877979377,0.3130580248724363,0.058618707170742246,0.8384462151394423,0.6263246813085548,0.7253646389185343,0.5510810810810811
24,-0.029596824471636807,0.08434450390636183,0.04509464985141931,0.8445237693814786,0.0029093774075970025,-0.21180952085711063,-0.21028362540283146,0.14929179469977888,0.18796640667865283,0.16659209545115577,-0.16496409758034603,-0.08284803767284282,0.07747445361355781,0.31285275117086564,0.05677298818424703,0.8381806108897742,0.6253651037663337,0.7251336898395722,0.5497297297297298
25,-0.03188034219564473,0.07984789514351942,0.04196508234672482,0.8332709523074547,0.003640599446633086,-0.2117562559368595,-0.2067819980439627,0.14766649119891542,0.18976243561727912,0.16329593573611734,-0.16575250794794238,-0.088347706081909,0.08013749496352898,0.31182868324559276,0.06233345613718366,0.8381806108897742,0.6258252725318594,0.7244934233913971,0.5508108108108108
26,-0.03442688869787841,0.07653893483673413,0.03912087328067438,0.8200980070864291,0.0020823620823620104,-0.21261303648100086,-0.20915489570473456,0.14916427253241468,0.18680305882198142,0.16363163371488026,-0.16636313282072884,-0.088347706081909,0.08048184758060886,0.3092934906988807,0.06047314992376096,0.8383798140770252,0.6261136712749616,0.7252669039145907,0.5508108108108108
27,-0.0359235335131127,0.07594511060870568,0.03799477052828585,0.8128050503555356,0.00011935942391949617,-0.2142897411821577,-0.21452277500761568,0.15243791331861192,0.1832714825334716,0.16681642681642683,-0.16655379638026485,-0.08687054130149297,0.07995742852563786,0.30963179253654105,0.0588337317008395,0.8383134130146083,0.6262471220260937,0.7246891651865008,0.5513513513513514
28,-0.03669454353624302,0.07386672581060594,0.03706736513606689,0.8095525291456295,0.0014381608947681146,-0.21618783545569367,-0.21670006894229693,0.15429646814828324,0.18020026795911268,0.1658388337260735,-0.16784140225997196,-0.08909771279369794,0.08147134959108299,0.3074067878275984,0.05946297619291663,0.8385790172642762,0.6274329501915709,0.7246017699115044,0.5532432432432433
29,-0.03683509608112942,0.07199939902126318,0.036233877591184106,0.8070471744053923,0.0014034625021193126,-0.21662228470907738,-0.2283336807169999,0.15999337945403222,0.1734127368375174,0.1765175856084948,-0.16669098187039288,-0.09246103306712766,0.08255391614936779,0.30594444274153615,0.06324407899360462,0.8382470119521912,0.6251154201292706,0.7258756254467477,0.548918918918919
30,-0.0371593629760249,0.0717024869072489,0.03621361818641973,0.805191213500791,0.001004501909130373,-0.2168969392017077,-0.22864472270766867,0.16020359699836972,0.17204090931492108,0.1756821830623876,-0.16699951382296765,-0.09277920042315685,0.0827997926819443,0.30437435683019176,0.0624699140804843,0.8385790172642762,0.6257120862201695,0.7270125223613596,0.5491891891891892
31,-0.037082261973711866,0.07229631113527746,0.03656260278533299,0.8055168063893883,0.0004268290924402951,-0.21679444868208073,-0.22802263872633122,0.15996898423423722,0.17210824430878213,0.17510077845974137,-0.1669009625270181,-0.09214286571109837,0.08255301310432739,0.30449935656605637,0.06186656562509296,0.8383798140770252,0.6251924853711117,0.7265569076592698,0.5486486486486486
32,-0.039780797054667916,0.06754571731104941,0.03517668308629958,0.7942755431423274,0.0021485378787957643,-0.21950842779175683,-0.23062641291625913,0.1623626131782415,0.1721129764344139,0.17590244221624468,-0.16974607204482867,-0.0951200439150921,0.08521179801205302,0.3021015425288183,0.06255258791767959,0.8381806108897742,0.6267422269872874,0.7232237539766702,0.552972972972973
33,-0.0380233368871116,0.06898735082849217,0.035168485056435245,0.801063864693087,0.002236478042853429,-0.21759796430597095,-0.23039553638710297,0.16153757919730422,0.17098659206038325,0.1768940395321127,-0.16739371900676583,-0.09214286571109837,0.08290995199638908,0.30387538247473245,0.06129884310371403,0.8380478087649402,0.6247114940760117,0.7252590210789568,0.5486486486486486
