epoch,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,0.08620856886437073,0.06905456722225345,0.0666189080814708,1.2364423300861715,0.07848873848927335,0.07872936568351008,-0.02433157553890275,0.055643001701674744,1.2189060411687842,0.027391549572083784,0.6010220843219566,0.5582053354890866,0.5859142978362325,0.5329988421458897
2,0.1327921060683922,0.09192435041248104,0.1002380959187899,1.3447335664468558,0.07328055189017768,0.10014759857476241,-0.03890937446307974,0.07005997405572872,1.2525846512726309,0.017156228218659697,0.6523088154772769,0.6374881065651761,0.6287537537537538,0.6464685449633346
3,0.15353658911528173,0.11704454047178103,0.1198386513767766,1.500712607786404,0.0797592244418972,0.08881503003791819,-0.037622968513892796,0.05776959315308708,1.2582886077633335,0.010187602940585738,0.6661799598466873,0.6275707595194462,0.6642241379310345,0.5947510613662679
4,0.14302059496567504,0.0976747666348654,0.1049052465340896,1.4006410256410255,0.06880428828546836,0.12236851039801583,-0.00692104022661888,0.05606441032308428,1.3435963099845765,0.024000317870781163,0.6807811644460668,0.6599261131635232,0.6649686520376176,0.6549594751061366
5,0.15107165706973769,0.12923938866752716,0.11466317175913135,1.453214971209213,0.09406018817783524,0.1419744615153692,0.03041116529875898,0.07079324428341836,1.4422155358675435,0.03834742107986888,0.6910020076656325,0.664553199920745,0.6828175895765473,0.6472404477035893
6,0.14995805461245537,0.11810052939745963,0.11190656340065243,1.4519425507975379,0.08281045414712085,0.11582914303481251,0.006332905999850147,0.044665478824728475,1.3385774950248366,0.03774865591397847,0.6922796130680782,0.66507747318236,0.6852230863692181,0.6460825935932073
7,0.13406657238104863,0.093097255738257,0.09422006344086865,1.4245441458733208,0.06627091450461908,0.10403912613066585,0.01268343399900429,0.03653643687571227,1.3205529832134029,0.047254878225348906,0.6959299142179229,0.6586065573770492,0.7020532983835737,0.6202238517946739
8,0.13679613370403387,0.08334642797014424,0.09350022667759786,1.365999451604058,0.059100785321726135,0.12602273661338104,-0.02610919471868678,0.06823133608670728,1.345350768603977,0.006931663285112188,0.701952911115167,0.6865041274716835,0.6829640947288006,0.6900810497877268
9,0.12436990414783522,0.08152440279102835,0.0847788909618929,1.326097888675624,0.06722725089244508,0.10244663400199422,-0.0023943891554215613,0.03494574326082063,1.2666419241147795,0.04923447149680171,0.6895418872056944,0.6728216964800924,0.6706288343558282,0.6750289463527596
10,0.1452613424573701,0.10217745103541165,0.10353787374449944,1.3855012549830206,0.07240107144821717,0.13269933848677512,-0.004702871064236613,0.05706542795438582,1.3601839187498181,0.023995612230906294,0.701222850885198,0.6888424253944117,0.6786516853932584,0.6993438826707835
11,0.13906634545137775,0.0881783489533644,0.09651069892492727,1.369809287802751,0.06268770038601923,0.12658811420484395,-0.018320271026349255,0.06319204825722882,1.3435963099845765,0.014992987435476168,0.69976273042526,0.6855285796214874,0.6791666666666667,0.6920108066383636
12,0.13719673777617714,0.070717586097237,0.09321619670168306,1.3575843404066963,0.04738164880514284,0.1315560749500559,-0.01665499209212773,0.0668308781771467,1.3553884489172126,0.013658787255909632,0.6950173389304618,0.6826210826210827,0.6720269259536276,0.693554612118873
13,0.13157894736842107,0.07959762051742525,0.08971377706213701,1.3571428571428572,0.05872225219670113,0.13521458974386463,0.007354981959478257,0.05877047471975527,1.3892541219899133,0.02752092340838308,0.6955648841029385,0.6766188445133773,0.6797818465134398,0.6734851408722501
14,0.12766093339833773,0.05480666704079917,0.08239867350906183,1.3374263783976226,0.03733129127979318,0.11162597877868435,-0.02260461960711757,0.05558147773963698,1.2973215322609817,0.022612587939711437,0.6973900346778609,0.6809083910700539,0.6790786948176584,0.6827479737553068
15,0.13110806830143873,0.09829395588978063,0.09389029299048154,1.3224815713755838,0.08146030163016083,0.10689067341403008,-0.03811418174448988,0.0669021273946541,1.2603747172905861,0.020652811382725234,0.6829713451359737,0.6762348555452005,0.6539293439077145,0.7001157854110382
16,0.12681671842127223,0.05159941635333076,0.08194083445816851,1.3529866621025222,0.032200193246652575,0.11899697297838202,-0.025587142989307865,0.06452798024202482,1.3408456009933556,0.006540908093880082,0.694469793757985,0.6709905660377359,0.683620344413296,0.6588189888074103
17,0.11925684924988766,0.07192042202143778,0.0783434945411819,1.3223623285909334,0.05983961117861469,0.11862279450919005,-0.026298631211204015,0.06485179276404654,1.3347276874764273,0.00777333353545373,0.6939222485855083,0.672140762463343,0.6810618066561014,0.6634504052489386
18,0.11709754022877439,0.060766597452157844,0.07447325135730389,1.3165255159586047,0.04987725280077937,0.12266370754754069,0.00877795840327067,0.0493622665953581,1.3513483080507447,0.03780651420530279,0.6962949443329075,0.6741088915001958,0.6842942345924453,0.6642223079891934
