epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,-0.01633247387601333,-0.031024035284032525,0.019030843846789325,0.9826775880427029,0.28343127273541957,-0.40170502983802214,-0.55988541287741,0.3903864988465539,0.5703865791393143,0.24931677395845986,0.6240747482101687,0.46856778425655976,0.9340719215401381
2,-0.03085465702988399,-0.022156784476421665,0.01746376364222063,0.9628310817072521,0.255848616185783,-0.6151747655583972,-0.7171244088759549,0.6114046764717203,0.24534616189081782,0.4330556561632259,0.6145577599363015,0.4841610036591741,0.8410824555030876
3,-0.08423012430976251,0.010765236270252054,0.011501726947771684,0.8652271190518892,0.18224135851080447,-0.5160272804774084,-0.6234539832666424,0.5299554897077756,0.11441111923920994,0.44509311062461154,0.6669907632474478,0.6021064950263312,0.7475481293134763
4,-0.14940546369793611,0.05506731726327707,0.05613750410276009,0.6637500959698912,0.019582964371728795,-0.3018755328218244,-0.4977719170607494,0.32101368638660066,0.18089289845015036,0.4750591136906176,0.6968463886063072,0.7920906567992599,0.6220486741736287
5,-0.1401213926898438,0.07048677684928895,0.048463796494452656,0.6483527211353832,0.012083811273950529,-0.26069906223358913,-0.47776464168788646,0.28108386128040025,0.2036458333333333,0.48756574093905425,0.7093184979137691,0.8630564957042437,0.6020704685797312
6,-0.1541056753075371,0.05893250678189532,0.044494674003775554,0.6359514268586414,0.000598849824531178,-0.2784313725490196,-0.5083212077118953,0.2995713869111466,0.19318181818181818,0.5072979956700887,0.7290423861852434,0.8602123981229933,0.6325826371231384
7,-0.155490675636491,0.06429651151377136,0.04445193385323397,0.64812900171412,0.0060174988381256345,-0.2963341858482524,-0.5372408148417607,0.3181229748149753,0.18365429779239079,0.524190241902419,0.7459293394777265,0.8551303122798779,0.661460225208863
8,-0.15985436218972598,0.06294064142078437,0.044290371405701405,0.6490154221486452,0.011156718055829518,-0.30767263427109975,-0.5543379410694798,0.3298005494821083,0.1780915508995673,0.5331625487354075,0.7548999797938977,0.8506375227686703,0.6785325099891028
9,-0.15697618965567056,0.07512616760933377,0.04988274445758492,0.6610232843782088,0.007165848316054713,-0.31679454390451833,-0.5683430338304838,0.3392100278266668,0.17385504668741664,0.540482859810591,0.7622188905547227,0.8475216714825516,0.6925172539048311
10,-0.1558680153428274,0.0796178144810823,0.05141201660724877,0.6676547539523492,0.007875471471788908,-0.3232736572890026,-0.5774372499090579,0.3458431435681361,0.1709663314385658,0.5446562527579207,0.7663922229937505,0.8443715846994535,0.7015982564475118
11,-0.15485313165848807,0.08421372549447304,0.052944056264711575,0.6726076096371958,0.007233820961314308,-0.2610400682011935,-0.45971262277191705,0.2879436027851883,0.33808906182447035,0.3708415645989728,0.7704756266035129,0.8435609334485739,0.70904467853251
12,-0.15528764668471906,0.0874863398705642,0.05605880661119145,0.6734875887640878,0.004993351555256154,-0.26342710997442453,-0.4628046562386322,0.2903721612386999,0.3360550064460679,0.37206461780929867,0.7716984845502854,0.842139175257732,0.7121322193970214
13,-0.15856117306699558,0.08518903874132677,0.05633923464198486,0.668421113931459,0.005099794262739543,-0.2643648763853368,-0.46535103674063294,0.29140465829329465,0.3352625937834941,0.37398405982485483,0.7736164356630297,0.8431540604242554,0.714674900108972
14,-0.1616475960432242,0.0860596515948997,0.05883209686206268,0.6634339202817933,0.0019110260888230979,-0.2648763853367434,-0.4684430702073481,0.29206813330649817,0.33483194176835795,0.37687088209263453,0.7765006385696042,0.8457093943933234,0.7177624409734835
