epoch,accuracy,Model_training_time,Full_training_time
21,97.23146545986955,0.0192999839782714,19.993366956710812
22,97.23146545986955,0.0229382514953613,19.993366956710812
23,97.23146545986955,0.0219969749450683,19.993366956710812
24,97.2181551976574,0.0208871364593505,19.993366956710812
25,97.19153467323306,0.0201418399810791,19.993366956710812
26,97.2181551976574,0.022252082824707,19.993366956710812
27,97.25808598429388,0.0205140113830566,19.993366956710812
28,97.25808598429388,0.0196099281311035,19.993366956710812
29,97.25808598429388,0.023669958114624,19.993366956710812
30,97.27139624650606,0.1464490890502929,19.993366956710812
31,97.28470650871822,0.0218961238861084,19.993366956710812
32,97.2980167709304,0.0224318504333496,19.993366956710812
33,97.31132703314256,0.0247139930725097,19.993366956710812
34,97.32463729535472,0.0231289863586425,19.993366956710812
35,97.32463729535472,0.0221941471099853,19.993366956710812
36,97.33794755756688,0.0218250751495361,19.993366956710812
37,97.35125781977904,0.0232789516448974,19.993366956710812
38,97.37787834420338,0.0216999053955078,19.993366956710812
39,97.37787834420338,0.0219531059265136,19.993366956710812
40,97.37787834420338,0.0243229866027832,19.993366956710812
41,97.37787834420338,0.0157430171966552,19.993366956710812
42,97.37787834420338,0.0190737247467041,19.993366956710812
43,97.39118860641554,0.0181400775909423,19.993366956710812
44,97.41780913083988,0.017125129699707,19.993366956710812
45,97.43111939305204,0.0180869102478027,19.993366956710812
46,97.45773991747636,0.0181260108947753,19.993366956710812
47,97.4843604419007,0.0196211338043212,19.993366956710812
48,97.4843604419007,0.0218579769134521,19.993366956710812
49,97.5242912285372,0.0188779830932617,19.993366956710812
50,97.53760149074937,0.0197751522064209,19.993366956710812
51,97.53760149074937,0.0176103115081787,19.993366956710812
52,97.57753227738588,0.0223832130432128,19.993366956710812
53,97.61746306402236,0.016819953918457,19.993366956710812
54,97.65739385065886,0.0189540386199951,19.993366956710812
55,97.65739385065886,0.0188841819763183,19.993366956710812
56,97.67070411287102,0.0165832042694091,19.993366956710812
57,97.67070411287102,0.0195770263671875,19.993366956710812
58,97.72394516171968,0.0168788433074951,19.993366956710812
59,97.73725542393186,0.0169620513916015,19.993366956710812
60,97.79049647278052,0.018683910369873,19.993366956710812
61,97.81711699720483,0.0173087120056152,19.993366956710812
62,97.830427259417,0.0182790756225585,19.993366956710812
63,97.84373752162918,0.0187518596649169,19.993366956710812
64,97.84373752162918,0.0199501514434814,19.993366956710812
65,97.84373752162918,0.0192899703979492,19.993366956710812
66,97.84373752162918,0.0217540264129638,19.993366956710812
67,97.85704778384134,0.0179612636566162,19.993366956710812
68,97.85704778384134,0.0186319351196289,19.993366956710812
69,97.87035804605352,0.0177578926086425,19.993366956710812
70,97.87035804605352,0.0178470611572265,19.993366956710812
