epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.03892013222608426,0.17436974789915966,0.11102502619969228,1.3454561599437165,0.12171027682973076,0.004462486856022935,0.07659267936366876,0.05161388652849099,1.0386133529933927,0.20122615106941127,-0.10939780872298091,0.0006395527867920081,0.04136747722951208,0.40422342472477835,0.17772580496667048,0.8704935012863778,0.2832840236686391,0.2171201814058957,0.4074468085106383
2,0.0321775719441495,0.2407482223658694,0.13775642028485977,1.8120528818388186,0.02909660107334522,-0.011890128316550432,0.046775594288368694,0.024825917305824688,0.7626414633571613,0.08866099824754986,-0.04392465735651439,0.02056043773835181,0.02150168514475901,0.37548549665612935,0.10105788816610814,0.9242540679608406,0.29045383411580594,0.35285171102661594,0.24680851063829787
3,0.016413886428418772,0.19004524886877827,0.10433288979414322,1.7066696153683683,0.03401373254238871,-0.011510309095261923,0.016127077737159934,0.008999722804196713,0.633270880415198,0.05856412425875818,-0.03055882803113149,0.026028219279753018,0.019114671509098104,0.30217192509406615,0.035179285453310005,0.9364161849710982,0.279439606209769,0.48488830486202367,0.19627659574468084
4,0.013795941091006604,0.22555753070458956,0.11974926317596565,1.751183195791406,0.10729210582761955,-0.010336673603460148,0.012444543183944973,0.007028946776127851,0.5956931975101889,0.041869132864782804,-0.02641389403327915,0.018519395820009332,0.01419398026087081,0.26807160918920436,0.0199798488664987,0.938554579170704,0.2599597585513079,0.5338842975206611,0.17180851063829788
5,0.012578996770379259,0.22115384615384615,0.11692355227578863,1.7581917169643946,0.11931450186950421,-0.010600295363680168,0.0027130921845441303,0.0021179191668173423,0.5539531691428692,0.04575877686615451,-0.02406543018252151,0.024310901611515112,0.01610739677788353,0.26492728217428557,0.007042208450223408,0.9398910755454576,0.2587556654305727,0.5740402193784278,0.16702127659574467
6,0.011658905676647496,0.21210407239819004,0.11225838416642964,1.706017563848948,0.11103825136612017,-0.012459494981546656,-0.008112347598947078,0.004447384888484909,0.4920116071506698,0.05512637065264936,-0.025374331961319028,0.006592920703350158,0.007030438499788223,0.23857877735167554,0.02606478730469436,0.9411607471014735,0.27261462205700127,0.609981515711645,0.17553191489361702
7,0.014074883083019497,0.2499595992243051,0.13203437696569173,1.8483553947574403,0.12702456778889892,-0.013558559853997183,-0.010121920842337706,0.005286542783533874,0.4682318087697246,0.05711691192891857,-0.026239774776587843,0.010497350988148524,0.008971335699511954,0.23378574533792515,0.021267924691906692,0.941895820107588,0.2852445540484998,0.6274864376130199,0.18457446808510639
8,0.012994552810621937,0.2498383968972204,0.13159709058743435,1.7353555016281645,0.1245932977767582,-0.01563237691573343,-0.021623950612297105,0.011082660333265638,0.43168237777133356,0.07021251422070537,-0.028026924920690824,0.0069798106607922294,0.007589090841859749,0.22696174520136136,0.026694612024573294,0.942096294563801,0.29581470946769606,0.6265060240963856,0.19361702127659575
9,0.012228794612946969,0.2392129928894635,0.12608600995804434,1.7012077406600874,0.11953901953901952,-0.015742430952471145,-0.022977130585233513,0.011726433969633042,0.42185621898978115,0.07051180449326386,-0.027886263636777455,0.0056928093737909635,0.006750258259697188,0.22185596585506276,0.026548101355698073,0.9425640682949648,0.29865361077111385,0.6409807355516638,0.1946808510638298
10,0.011878592455514678,0.2413542340012928,0.12707782918623095,1.649513416164619,0.11674508888063612,-0.01660237622287678,-0.01911619170722839,0.01007706927308657,0.41697786855284524,0.06589072355310155,-0.028641840282913205,0.012171242232591917,0.010136678800249727,0.22783408916742115,0.02176276967752888,0.9426308931137024,0.3062626262626263,0.6369747899159663,0.20159574468085106
