epoch,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,0.008869838997058704,0.0101717268084629,0.007399054599212099,1.037877390635648,0.03577957732445175,-0.01894586741859744,-0.014758424417042226,0.02039578417970521,0.9265364324584997,0.03804528804528812,0.5234531848877533,0.33239580669905394,0.49242424242424243,0.2508683905827866
2,0.07133827015172081,0.07917391548347272,0.06348633032165316,1.3929599670962436,0.09563280424627368,0.010596005189179913,-0.05178004220468829,0.035123484988764,1.0468195578126553,0.015979958894563606,0.5661617083409382,0.3878444501673964,0.5828173374613003,0.29062138170590507
3,0.0910773083505727,0.0932263314439643,0.07600486609766555,1.2877165090303635,0.09944313893042805,0.023354168676937792,-0.048788707822846056,0.03392253065957282,1.0639994045473775,0.03097160926072745,0.593903997079759,0.5270988310308183,0.586565752128666,0.4785796989579313
4,0.0958554589762397,0.08612062031165235,0.0790733101462179,1.3289699128739536,0.08794445803989814,0.016939527470131888,-0.060271643119270135,0.037681622450997515,1.0485202545626893,0.018218623481781382,0.595364117539697,0.5166775670372793,0.593687374749499,0.4573523736009263
5,0.0927364570568539,0.09634098434255572,0.07835247282022048,1.3182656942448572,0.10163209853410993,0.006458956517388426,-0.07751476943816665,0.04347907213081342,1.0181359862803518,0.007571321211411353,0.5926263916773133,0.5120244862264977,0.5905194150277358,0.4519490544191432
6,0.09522170296809368,0.09486596703892847,0.07988852124633954,1.3285148752399232,0.09833980625255162,0.0127406517924471,-0.08601518135240038,0.05429095787795654,1.0363108576084743,0.0048307191496757,0.5948165723672203,0.51486013986014,0.5934508816120907,0.45465071401003476
7,0.10890190196345406,0.09537759320575417,0.09050084921776799,1.4055977087332052,0.08972770027844124,0.02009913763835136,-0.07264008388071663,0.04801433204878963,1.0602974129150542,0.0006161016835648514,0.6024822047818945,0.5177147918511957,0.6072727272727273,0.45117715167888844
8,0.11099331509111593,0.10689339094973532,0.091095503568875,1.4181386094380832,0.10105177491984935,0.04196659912155615,-0.06211093929661793,0.05302911404766529,1.1343874241532979,0.0038901211846446015,0.6181784997262274,0.5359361135758651,0.6301512780386019,0.46622925511385566
9,0.11046808270781272,0.07204949772714525,0.08497768755319665,1.348133789495054,0.06340695332155599,0.07787307952096584,-0.0021608976646445566,0.03394747627359694,1.2348553191902145,0.04418684971722142,0.6192735900711809,0.564509394572025,0.614824920418372,0.521806252412196
10,0.10947892555389144,0.06893484482855372,0.08198032151782518,1.3269404815515984,0.06170076043841555,0.05353611161740163,-0.04192273634405197,0.04329777636033233,1.1446236190612271,0.02956046407853652,0.627669282715824,0.5821384678410487,0.620253164556962,0.5484368969509842
11,0.10717247826233361,0.06059636717361616,0.07748320044932333,1.3136230334864272,0.05470300800244976,0.0572818275062274,-0.05672081025952791,0.05574671558646943,1.1540124607478757,0.014926091292062571,0.6346048549005293,0.5922606924643584,0.6269943941354031,0.5611732921651872
12,0.11673097560725648,0.09464429354434406,0.09095570654042054,1.3635019216653521,0.08377755429793377,0.071782583368178,-0.033422324429818184,0.049610121245110106,1.2076957995932054,0.021618242625805695,0.6333272494980836,0.5846599131693199,0.6295636687444346,0.5457352373600927
13,0.10188739603326935,0.07476008754700036,0.07518258420029955,1.305662188099808,0.07268907563025195,0.07280112074849987,-0.037464370520157386,0.053342363375528654,1.2106428366834767,0.017125422089096842,0.6338747946705603,0.5857083849648906,0.6299422478898268,0.5472790428406021
14,0.10690089468852804,0.08251211253905005,0.08055388383949727,1.3244145206867135,0.07752445734316726,0.0688849338665466,-0.04275537581116273,0.05427664693578238,1.1973086045423698,0.015172276512714133,0.6342398247855449,0.5861214374225526,0.6303864948911595,0.5476649942107294
15,0.09697125752711078,0.06279252483304343,0.07007195445222605,1.3005421243925348,0.06214641080312722,0.07824725799015769,-0.02403640705056187,0.04840346390383253,1.2397899841633864,0.021450015192950533,0.6300419784632232,0.5744278815872349,0.6298342541436464,0.5279814743342339
16,0.10861659280471897,0.0675346540209888,0.07961919629957845,1.3390389361118729,0.05937489620354064,0.06795788615968523,-0.043709166523487886,0.05390395263903608,1.1986461287744645,0.01281379765949442,0.6362474904179595,0.5847051469056053,0.6354166666666666,0.5414897722886917
17,0.11333581491908862,0.07765026095740502,0.08607140006756461,1.3431483911291575,0.0681711413905236,0.06345130497868218,-0.06350307724162851,0.06681242326192936,1.1764255796968237,0.0007491247933106848,0.6304070085782078,0.5844449004719885,0.6240140227870289,0.5495947510613662
18,0.10295799165777253,0.05093252520717584,0.07152350868101137,1.306768016053045,0.046415543730152,0.08605461504647749,-0.015225407398596347,0.04496324030703275,1.2554746384192301,0.029765819245796576,0.6402628216827888,0.5943609796254373,0.63668430335097,0.5573137784639135
19,0.103123247700324,0.07042482743139344,0.07481650491740316,1.318104888788529,0.06642413075976816,0.07342475153048644,-0.029796598073034364,0.04686391342646157,1.2179797311061316,0.02229188063448584,0.6388027012228509,0.5874504898895142,0.6387126019945603,0.5438054805094558
20,0.10327258206435724,0.05373290682230569,0.07181154214353368,1.297561219970049,0.05035663896140463,0.07363667878190078,-0.028774522113406364,0.04522794127283292,1.2047458873447974,0.030061207357435893,0.6417229421427267,0.6012593946780418,0.6346483704974271,0.5712080277884987
21,0.11432259297162206,0.08850477954243596,0.08786192886246771,1.3142073781672883,0.08106037783714803,0.09783212359683074,0.0001255567450404449,0.04400273860983997,1.2693928041072151,0.04432427165546138,0.6318671290381457,0.6014621616281367,0.6161943319838057,0.5874179853338479
22,0.11683949923209924,0.09761209944441329,0.09124217874206694,1.3119686018193117,0.089360056923252,0.0864327247125759,-0.008548872412319608,0.04158885347560065,1.2239393322098557,0.04811669650611716,0.6316846139806535,0.6066276803118908,0.612839700669555,0.6005403319181783
23,0.10884059435076882,0.0866228931664702,0.08181899387994812,1.3068602563308773,0.08202778117234921,0.08100338440315497,-0.00778451819251158,0.035550597376368065,1.221980428412492,0.04720987892750417,0.6382551560503742,0.6026463512429832,0.6270337922403004,0.580084909301428
24,0.10160208687453426,0.06755242531380357,0.07343314934800549,1.2637630413713157,0.06922691122734104,0.07366562668639409,0.0041147368374678805,0.025682033006183047,1.1857938372178967,0.06943442560049107,0.6336922796130681,0.6083902439024389,0.6152328334648777,0.6016981860285604
25,0.08763456563464911,0.07430832257702452,0.06415580430281898,1.251949376199616,0.08234641138903298,0.08079145715174063,0.020736687680900756,0.03755521273353399,1.236159643982011,0.06856437025457796,0.6262091622558861,0.578774167009461,0.619550858652576,0.543033577769201
26,0.13368609916680207,0.07821239500907273,0.10065678024616037,1.3245601407549583,0.06151767718036727,0.10329041181074505,-0.013635021961416638,0.055288616033542015,1.2453147280505195,0.043938644420959516,0.6420879722577113,0.6371877890841813,0.6119402985074627,0.6646082593593208
27,0.10183963099771459,0.06227154535420998,0.07208021765534225,1.2334121612552515,0.06823362166231106,0.12111696025559932,0.0302371480556326,0.06737906878946531,1.2988600317995307,0.06911351784997999,0.6353349151304982,0.6304106548279689,0.6053285968028419,0.6576611346970281
28,0.1287542219899243,0.10437080270123644,0.10004780130449853,1.363003838771593,0.08713602282761068,0.1057434786804044,0.04085660538616409,0.05627491380925334,1.2954597198423063,0.07881404701994177,0.6457382734075561,0.6172352593176889,0.6310483870967742,0.6040138942493246
29,0.1070456538575848,0.08877696092186249,0.0776318963933659,1.2864017391985585,0.08641352063213348,0.10272110302237564,0.03539158285203248,0.05075022065148152,1.2828552112210343,0.07698869695030908,0.6534039058222303,0.6265486725663718,0.6387329591018445,0.6148205326128908
30,0.10992473255240243,0.08588678751145784,0.08048891293864158,1.2941047436248971,0.08159349878175104,0.11691415338100802,0.05572296454894288,0.0675294146883844,1.331547599140172,0.08568580346783028,0.6490235444424165,0.6227192466156563,0.6332801276935355,0.6125048243921266
31,0.10590039105106502,0.08213798005873874,0.07644183897774412,1.2941428234490386,0.07946157186278746,0.10600543934699241,0.03782121600606203,0.05485301388598131,1.3067162458263233,0.07342279635701598,0.65011863478737,0.6169830169830168,0.6396023198011599,0.5959089154766499
32,0.10513761454458143,0.0869699010419589,0.07616748364549303,1.291406792109823,0.08503233425294676,0.11208342714598679,0.04561013969839944,0.06097326452091681,1.3293172859443942,0.07639970202342816,0.6517612703048001,0.6188573711546146,0.641407867494824,0.5978386723272867
