epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,F1_score,Precision,Recall
1,-0.03887976043332364,0.01773544514747924,0.019193499253547724,0.7126987214930848,0.00970026519363415,0.03249005822027459,0.07006059294524994,0.06403970755247362,1.2809147050633118,0.1108580370338173,0.28933437472880325,0.7359823399558499,0.18006048822639878
2,-0.13174737081428878,0.07725126899408441,0.06079082883635956,0.6850084438854427,0.004221264413018511,-0.0926257476464648,-0.16734743561999565,0.14620403701054113,0.7367726790608023,0.08480971349819166,0.693384539147671,0.8128085971536451,0.6045582199179088
3,-0.17133091629483166,0.05014718018286424,0.05263200139859046,0.6456041746365707,0.020814767573461235,0.08463253780149782,-0.0023939623458125725,0.025064255840607855,1.2132613407426502,0.008503042596348931,0.7501321275471254,0.8219019431218634,0.6898898250162022
4,-0.17535701145853294,0.06926213527512226,0.06689187446110942,0.6481609631435271,0.006151506431200882,0.18295527099046455,0.15892122917117502,0.10293980348633458,1.4466274466274465,0.10769565217391297,0.767503761138757,0.8265204386839482,0.7163534240656729
5,-0.17959206042363124,0.07110709717117003,0.06905771069747532,0.6390661223451275,0.0008376871094846194,0.22301036521712775,0.15513417009305341,0.15106082716353456,1.5484500729185597,0.07447519226938681,0.7741523455643288,0.8369319608335426,0.7201339382155973
6,-0.17593729486093385,0.07169232508112178,0.06287123748883047,0.6421082514316505,2.782107773946496e-05,0.22715379966390248,0.1542685565894828,0.15494547456911803,1.5643911578075278,0.06987584790039492,0.7787435104707462,0.8465440710209258,0.7209980557355801
7,-0.1706943259131264,0.07677335003980434,0.06117325924676095,0.6496863908281625,0.0012139712866990893,0.1917536750008999,0.15416035490153646,0.11103768205928671,1.4783808821583195,0.09481496662372657,0.7803623611922853,0.8502292409577178,0.7211060704255778
8,-0.1663447213694434,0.0793101275698963,0.05877719065832603,0.654887208714583,0.0015842280873406,0.1948228857022145,0.15675719541224842,0.11408248826593792,1.4897881420515164,0.09488482782935703,0.7802932551319648,0.8536960985626283,0.7185137178656297
9,-0.16742690309682645,0.07920183979993856,0.059013105455967704,0.6514486095074656,0.003748645130089212,0.19702248670482336,0.15762280891581903,0.11621317024814917,1.49807223491434,0.09385125184094245,0.781325336626095,0.8574009549619306,0.717649600345647
10,-0.17991532971082025,0.068323194792131,0.06010688614586654,0.6352406688526971,0.00011462970381015403,0.19042368369699686,0.1483174637524345,0.10947453666907647,1.4734918077578976,0.0896866230121609,0.7854808590102708,0.8542777354658543,0.7269388636854612
11,-0.2096798524410573,0.039780455046640295,0.060910839448481066,0.5972967176275652,0.009463049591606043,0.17799338035667256,0.13057238692923612,0.09676965130880164,1.4293143235771242,0.08177927019081122,0.7933713102019679,0.8489102327299594,0.744653272845107
12,-0.21520507656376486,0.03262058309409477,0.05846774769951433,0.5892078721626894,0.01201866723851508,0.17758415226316393,0.12775914304263147,0.09623622234114693,1.4279049171197573,0.0791486603284356,0.7959970092597918,0.851273219338172,0.7474616547850508
13,-0.2157149814614438,0.031813009791594404,0.058076704556145727,0.5883966256113565,0.01235560672176994,0.17763530577485254,0.1275427396667388,0.09627355281580852,1.4280809409014537,0.07887230609657714,0.7962728632232832,0.8516240157480315,0.7476776841650464
14,-0.2207846660458006,0.02771234461516403,0.058557027092761,0.5833967813713435,0.013841240191560522,0.174310327515095,0.12267366370915389,0.09286880041962983,1.4167289461407109,0.07667633044376831,0.7984642713884591,0.8503600634688149,0.7525383452149492
