epoch,accuracy,Model_training_time,Full_training_time
21,99.1481432184214,0.1001210212707519,89.02348709106445
22,99.1481432184214,0.1097199916839599,89.02348709106445
23,99.1880740050579,0.1111731529235839,89.02348709106445
24,99.2280047916944,0.1064178943634033,89.02348709106445
25,99.24131505390656,0.116528034210205,89.02348709106445
26,99.26793557833088,0.112926959991455,89.02348709106445
27,99.28124584054306,0.6649231910705566,89.02348709106445
28,99.28124584054306,0.509350061416626,89.02348709106445
29,99.3078663649674,0.7027590274810791,89.02348709106445
30,99.32117662717955,0.4280531406402588,89.02348709106445
31,99.32117662717955,0.1254329681396484,89.02348709106445
32,99.32117662717955,0.3164217472076416,89.02348709106445
33,99.33448688939173,0.1096489429473877,89.02348709106445
34,99.33448688939173,0.1058549880981445,89.02348709106445
35,99.33448688939173,0.1057090759277343,89.02348709106445
36,99.33448688939173,0.1097209453582763,89.02348709106445
37,99.33448688939173,0.1083278656005859,89.02348709106445
38,99.33448688939173,0.1043469905853271,89.02348709106445
39,99.33448688939173,0.1092219352722168,89.02348709106445
40,99.33448688939173,0.1049211025238037,89.02348709106445
41,99.33448688939173,0.1053850650787353,89.02348709106445
42,99.34779715160388,0.1143090724945068,89.02348709106445
43,99.34779715160388,0.1051390171051025,89.02348709106445
44,99.34779715160388,0.1046950817108154,89.02348709106445
45,99.34779715160388,0.1085641384124755,89.02348709106445
46,99.34779715160388,0.3104329109191894,89.02348709106445
47,99.34779715160388,0.1101009845733642,89.02348709106445
48,99.36110741381606,0.1166679859161377,89.02348709106445
49,99.36110741381606,0.640355110168457,89.02348709106445
50,99.36110741381606,0.6106078624725342,89.02348709106445
51,99.36110741381606,0.6668000221252441,89.02348709106445
52,99.36110741381606,0.2699747085571289,89.02348709106445
53,99.36110741381606,0.1239190101623535,89.02348709106445
54,99.37441767602822,0.1060359477996826,89.02348709106445
55,99.37441767602822,0.1135530471801757,89.02348709106445
56,99.37441767602822,0.1104960441589355,89.02348709106445
57,99.37441767602822,0.1036319732666015,89.02348709106445
58,99.37441767602822,0.1068799495697021,89.02348709106445
59,99.37441767602822,0.1157567501068115,89.02348709106445
60,99.37441767602822,0.3064641952514648,89.02348709106445
61,99.3877279382404,0.1050469875335693,89.02348709106445
62,99.3877279382404,0.3128321170806885,89.02348709106445
63,99.3877279382404,0.1118810176849365,89.02348709106445
64,99.3877279382404,0.1073741912841796,89.02348709106445
65,99.3877279382404,0.1075770854949951,89.02348709106445
66,99.3877279382404,0.1051108837127685,89.02348709106445
67,99.3877279382404,0.1088378429412841,89.02348709106445
68,99.3877279382404,0.1045198440551757,89.02348709106445
69,99.3877279382404,0.1057572364807128,89.02348709106445
70,99.3877279382404,0.1030800342559814,89.02348709106445
