,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,0.0,-1.0,0.5,1.0,0.6768377253814147,0.5083333333333333,0.6740331491712707,0.5083333333333333,1.0
2,0.0,-1.0,0.5,1.0,0.6768377253814147,0.5083333333333333,0.6740331491712707,0.5083333333333333,1.0
3,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
6,0.3144654088050315,-0.860655737704918,0.6792549074790684,1.4587155963302754,0.7355516637478109,0.6791666666666667,0.7317073170731708,0.6363636363636364,0.860655737704918
7,0.012578616352201255,-0.9959016393442623,0.5086804334060367,1.0127388535031847,0.6797202797202797,0.5166666666666667,0.6768802228412256,0.5126582278481012,0.9959016393442623
8,0.0020964360587001907,-0.5204918032786885,0.3603889631557963,1.0063291139240507,0.6318407960199004,0.6895833333333333,0.630272952853598,0.7987421383647799,0.5204918032786885
9,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
15,-0.05241090146750524,-0.09836065573770492,0.051326250615633576,0.0,0.17843866171003717,0.5395833333333333,0.17843866171003717,0.96,0.09836065573770492
16,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,0.0
17,0.05031446540880502,-0.9836065573770492,0.5347217336241469,1.0529801324503312,0.6886657101865137,0.5416666666666666,0.6857142857142856,0.5263157894736842,0.9836065573770492
18,-0.1740041928721174,-0.29918032786885246,0.17104939140223738,0.0,0.4464831804281346,0.6229166666666667,0.4464831804281346,0.8795180722891566,0.29918032786885246
19,0.259958071278826,-0.8811475409836066,0.6444364314360094,1.3512747875354107,0.7202680067001674,0.6458333333333334,0.7166666666666666,0.6039325842696629,0.8811475409836066
20,-0.32075471698113206,-0.48770491803278687,0.3168138324069514,0.0,0.5994962216624685,0.66875,0.5994962216624685,0.7777777777777778,0.48770491803278687
21,-0.0440251572327044,-0.08196721311475409,0.043129529304158164,0.0,0.15094339622641506,0.53125,0.15094339622641506,0.9523809523809523,0.08196721311475409
22,-0.03773584905660377,-0.06967213114754098,0.036981988320551606,0.0,0.1297709923664122,0.525,0.1297709923664122,0.9444444444444444,0.06967213114754098
23,-0.2830188679245283,-0.8565573770491803,0.44401545533431835,0.5408163265306123,0.7769516728624536,0.7479166666666667,0.7755102040816326,0.7084745762711865,0.8565573770491803
24,0.2955974842767296,-0.9221311475409836,0.7228681488777879,1.4196428571428572,0.7758620689655171,0.7229166666666667,0.7718696397941681,0.6637168141592921,0.9221311475409836
25,-0.38155136268343814,-0.6434426229508197,0.3753693801449377,0.0,0.7370892018779343,0.7666666666666667,0.7370892018779343,0.8626373626373627,0.6434426229508197
26,0.2410901467505241,-0.9549180327868853,0.7006349820586787,1.3176795580110496,0.768976897689769,0.7020833333333333,0.7651888341543513,0.6383561643835617,0.9549180327868853
27,-0.3584905660377358,-0.6229508196721312,0.3522479420249068,0.0,0.7325301204819277,0.76875,0.7325301204819277,0.8888888888888888,0.6229508196721312
28,-0.49056603773584906,-0.7622950819672131,0.4841518328291001,0.0,0.7782426778242677,0.7791666666666667,0.7782426778242677,0.7948717948717948,0.7622950819672131
29,-0.4570230607966457,-0.7377049180327869,0.45039752339407585,0.0,0.7792207792207793,0.7875,0.7792207792207793,0.8256880733944955,0.7377049180327869
30,-0.20545073375262052,-0.8073770491803278,0.44159982644996365,0.6186770428015564,0.7864271457085827,0.775,0.7848605577689243,0.7635658914728682,0.8073770491803278
31,-0.42557651991614254,-0.7049180327868853,0.41898262154365723,0.0,0.7695749440715883,0.7854166666666667,0.7695749440715883,0.8472906403940886,0.7049180327868853
32,-0.4339622641509434,-0.7090163934426229,0.42746957011186937,0.0,0.7671840354767184,0.78125,0.7671840354767184,0.8357487922705314,0.7090163934426229
33,-0.4444444444444444,-0.7213114754098361,0.4379089565890382,0.0,0.7719298245614035,0.7833333333333333,0.7719298245614035,0.8301886792452831,0.7213114754098361
34,-0.5241090146750524,-0.7991803278688525,0.5176159150073876,0.0,0.7894736842105263,0.7833333333333333,0.7894736842105263,0.78,0.7991803278688525
35,-0.469601677148847,-0.7581967213114754,0.4627893477802012,0.0,0.7905982905982906,0.7958333333333333,0.7905982905982906,0.8258928571428571,0.7581967213114754
36,-0.1991614255765199,-0.8073770491803278,0.44803759469030696,0.6259842519685039,0.7911646586345381,0.78125,0.7895791583166332,0.7725490196078432,0.8073770491803278
37,-0.29979035639413,-0.5450819672131147,0.2940002110743685,0.0,0.6873385012919896,0.7479166666666667,0.6873385012919896,0.9300699300699301,0.5450819672131147
38,-0.2893081761006289,-0.8975409836065574,0.4494857993855391,0.5353535353535354,0.8096118299445471,0.7833333333333333,0.8081180811808119,0.7348993288590604,0.8975409836065574
39,-0.26624737945492666,-0.889344262295082,0.46327012828631065,0.5559440559440559,0.8188679245283019,0.7979166666666667,0.8173258003766478,0.7560975609756098,0.889344262295082
